Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,2721358.9075,0.0000,111.991870,98.907563,29798609511.0234,36598200031.0411,48.6859,51.3140,0.000000,0.000000,645.3103
1,1901,5316926.3679,0.0000,111.991870,98.334034,22417046561.1717,31026610448.3305,48.3388,51.6611,0.000000,0.000000,314.4141
2,1902,7518193.0084,0.0000,111.991870,98.032931,19950426827.1703,30497245508.7798,48.0987,51.9012,0.000000,0.000000,190.3695
3,1903,9613401.5378,0.0000,111.991870,97.874852,18981630079.9881,33077678408.3664,47.8624,52.1375,0.000000,0.000000,108.9007
4,1904,11611036.6047,0.0000,111.991870,97.791860,19755501862.0393,36536081395.4162,47.6274,52.3724,0.000000,0.000000,66.7466
0,1900,13245150.5445,0.0000,111.991870,97.748290,10217578992.8448,11863606416.8745,40.0684,59.9314,0.000000,0.000000,184.2951
1,1901,14115834.7727,0.0000,109.510177,97.725415,9054596245.6089,11526090610.9289,39.3584,60.6416,0.000000,0.000000,96.7936
2,1902,14416204.6133,0.0000,106.896885,97.713406,8900999168.1321,12117104432.3180,38.9861,61.0137,0.000000,0.000000,61.3633
3,1903,14567637.1442,0.0000,104.286151,97.707050,9049867410.7444,13243253781.0315,38.6671,61.3329,0.000000,0.000000,46.6162
4,1904,14578450.3854,0.0000,101.677409,97.703765,9449591055.9827,14503918571.2314,38.3562,61.6431,0.000000,0.000000,39.8362
5,1905,14456158.8973,0.0000,99.070246,97.702039,10004985963.5595,15864737756.3150,37.9992,62.0008,0.000000,0.000000,35.8408
0,1900,23965130.3808,0.0000,111.991870,97.701134,14150850083.2931,16494735590.3261,40.1431,59.8567,0.000000,0.000000,212.4628
1,1900,25903756.8674,0.0000,109.554642,97.700658,12569341549.9664,15982878344.7776,39.8305,60.1695,0.000000,0.000000,115.8201
2,1900,25718489.1778,0.0000,106.939345,97.700409,12142442806.6216,16536111812.2480,39.8588,60.1411,0.000000,0.000000,73.6171
3,1900,25380292.8881,0.0000,104.326241,97.700278,12276140978.5743,17594603790.5560,39.8928,60.1072,0.000000,0.000000,52.6752
4,1900,24884731.5136,0.0000,101.714975,97.700209,12749963009.1864,18967453383.1215,39.9286,60.0712,0.000000,0.000000,41.1663
0,1900,37772806.5577,0.0000,111.991870,97.700173,48201104879.7344,65689890475.1722,49.4197,50.5801,0.051000,0.000000,1317.4871
1,1900,36475402.9588,0.0000,109.590472,97.700154,38155880452.3801,58600194524.4175,49.3222,50.6778,0.052000,0.000000,519.1644
2,1900,34422925.3569,0.0000,106.978583,97.700144,32796800254.5852,55892850747.8224,49.0394,50.9605,0.053000,0.000000,210.1398
3,1900,33226852.7349,0.0000,104.367504,97.700138,32110294412.4103,57633718206.0582,48.7385,51.2615,0.054000,0.000000,106.3360
4,1900,31973105.4137,19367276.6098,101.757206,97.700136,33310690215.1475,60993467358.7960,48.4255,51.5739,0.055000,0.000000,67.9860
0,1900,32576778.4537,308385.6729,111.818384,97.700134,26586432061.8286,30461584942.4697,48.5692,51.4306,0.051000,0.000000,1023.8624
1,1900,30623866.5356,8205888.6570,109.487153,97.700134,20842592133.6334,25993377108.1885,49.2821,50.7179,0.052000,0.000000,423.6966
2,1900,28452088.7583,8912046.6930,106.916681,97.700105,18233219293.4866,24888815298.3404,49.6843,50.3154,0.053000,0.000000,213.1464
3,1900,26808269.8553,20406419.8506,104.338165,97.699873,17699032277.8936,27364920339.5639,50.0768,49.9232,0.054000,0.000000,116.9109
4,1900,25210477.2565,29966887.1212,101.761124,97.699265,18291344231.4552,30319648491.9027,50.4602,49.5398,0.055000,0.000000,68.7729
5,1900,23649591.1607,44744375.1062,99.185434,97.698364,19624529546.9054,33658632910.1648,50.8645,49.1355,0.056000,0.000000,50.5254
0,1900,50549256.7759,328659.3772,111.818384,97.699204,45403459186.8086,49385217968.4165,47.7276,52.2723,0.051000,0.000000,950.1392
