Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,1782921.5043,0.0000,111.991870,98.907563,32235545656.6361,35939120162.8776,48.3293,51.6706,0.000000,0.000000,1022.2287
1,1901,4814901.5596,0.0000,111.991870,98.334034,23702034638.3184,29815344681.2066,48.4795,51.5203,0.000000,0.000000,475.4209
2,1902,6874775.4349,0.0000,111.991870,98.032931,19693911004.9978,28198667918.6259,48.4907,51.5092,0.000000,0.000000,255.1143
3,1903,8835061.1601,0.0000,111.991870,97.874852,18213775708.5225,28857207023.5399,48.4990,51.5009,0.000000,0.000000,139.1751
4,1904,10703725.7873,0.0000,111.991870,97.791860,18158123698.4995,30733903571.4293,48.5060,51.4939,0.000000,0.000000,83.1014
0,1900,4658237.5944,0.0000,111.991870,97.748290,4802046719.9713,5604756388.1600,51.9638,48.0356,0.000000,0.000000,229.6381
1,1901,4621778.5450,0.0000,109.510177,97.725415,4338336099.0605,5541604404.3338,51.7822,48.2178,0.000000,0.000000,150.5702
2,1902,4440064.5118,0.0000,106.896885,97.713406,4277268800.2252,5861407868.5519,52.2266,47.7729,0.000000,0.000000,114.3222
3,1903,4254317.7156,0.0000,104.286151,97.707050,4305639140.6058,6365127026.1389,52.6809,47.3191,0.000000,0.000000,86.5435
4,1904,4063762.9842,0.0000,101.677409,97.703765,4475906883.5626,7001489591.8984,53.1342,46.8658,0.000000,0.000000,71.2382
5,1905,3867818.1081,0.0000,99.070246,97.702039,4731995347.3646,7695882763.9470,53.5924,46.4076,0.000000,0.000000,60.4428
0,1900,8160923.5904,0.0000,111.991870,97.701134,8647988193.4119,10787875363.5092,50.1348,49.8647,0.000000,0.000000,570.7727
1,1900,5419421.2073,0.0000,109.554642,97.700658,6814170207.2776,9530497560.0822,50.1999,49.8001,0.000000,0.000000,294.4099
2,1900,5209695.3861,0.0000,106.939345,97.700409,6192104886.1149,9538830364.7603,50.7111,49.2883,0.000000,0.000000,185.7536
3,1900,4993980.8687,0.0000,104.326241,97.700278,6015046827.6769,10294148526.2418,51.2344,48.7656,0.000000,0.000000,120.6344
4,1900,4774533.0502,0.0000,101.714975,97.700209,6244024859.6373,11337310170.2570,51.7601,48.2399,0.000000,0.000000,85.8211
0,1900,7018151.1657,0.0000,111.991870,97.700173,11732923470.8116,13713036187.4303,45.9898,54.0093,0.051000,0.000000,1181.0331
1,1900,5544401.8121,7389105.5816,109.590472,97.700154,9009319950.4805,11452142501.5895,46.8485,53.1515,0.052000,0.000000,485.1974
2,1900,4565977.4106,7389105.5816,106.978583,97.700144,8020708724.3330,11120452318.0986,47.4625,52.5353,0.053000,0.000000,236.0316
3,1900,4328643.1824,7389105.5816,104.367504,97.700138,7831415283.3325,11918136522.5226,48.0705,51.9295,0.054000,0.000000,132.8544
4,1900,4098385.4100,7389105.5816,101.757206,97.700136,8102379227.8609,13011333634.3471,48.6898,51.3102,0.055000,0.000000,87.5000
0,1900,19980521.3071,149663.1736,111.818384,97.700134,18809901727.9026,20745438869.4268,46.0364,53.9634,0.051000,0.000000,400.9524
1,1900,21613421.7688,1807300.0653,109.487153,97.700134,15968469761.1198,19462938737.6266,45.9379,54.0621,0.052000,0.000000,181.2746
2,1900,21660947.4706,11679657.4466,106.916681,97.700105,14448136869.7867,19397654135.1805,46.0248,53.9750,0.053000,0.000000,99.4846
3,1900,21547908.7571,11808886.6246,104.338165,97.699873,14061332458.4945,20299061276.1920,46.1115,53.8885,0.054000,0.000000,61.3690
4,1900,21282277.7515,11944192.8381,101.761124,97.699265,14202315642.3115,21666904368.5725,46.1950,53.8048,0.055000,0.000000,45.5576
5,1900,20871196.1370,21891135.7296,99.185434,97.698364,14549509427.4799,23205375279.6769,46.2683,53.7317,0.056000,0.000000,38.0787
0,1900,34910902.5528,0.0000,111.818384,97.699204,32211613428.1070,38806947594.3926,51.8994,48.1005,0.051000,0.000000,710.5473
1,1900,34212792.3272,0.0000,109.565167,97.699645,24293617659.7210,32594497047.6783,52.0810,47.9190,0.052000,0.000000,257.6942
2,1900,33564940.6616,0.0000,107.002680,97.699877,21144797305.6546,31320317383.2023,52.2444,47.7554,0.053000,0.000000,112.8546
3,1900,31832969.3114,7145858.6390,104.420807,97.699998,20788333830.9250,32634727145.2178,52.4050,47.5950,0.054000,0.000000,64.4212
4,1900,30962469.5544,12636332.4414,101.840198,97.700062,21487678054.1837,34877708260.4549,52.5645,47.4351,0.055000,0.000000,44.4620
5,1900,29957664.3768,28254701.7857,99.260805,97.700096,22698982385.3793,37576338675.8418,52.7232,47.2768,0.056000,0.000000,35.2568
6,1900,28822313.9682,28254701.7857,96.682581,97.700113,24201478787.3399,40548241005.7915,52.8817,47.1183,0.057000,0.000000,31.0393
7,1900,29541206.6687,34001710.1315,96.462662,97.700122,26041537270.4066,43867021269.0883,53.0397,46.9600,0.058000,0.000000,29.0534
8,1900,29743282.9392,53673047.9519,96.454485,97.700127,28757678417.0111,48093394018.3265,53.1991,46.8009,0.059000,0.000000,28.8935
9,1900,31136056.2801,65094931.1875,96.454485,97.994248,31609131469.8947,52505881162.7005,53.3540,46.6460,0.060000,0.000000,29.5517
10,1900,31920270.9257,86966742.6942,96.454485,98.295719,34585591781.2679,57084141222.7972,53.5104,46.4894,0.061000,0.000000,29.5828
11,1900,32696611.5716,121962371.9434,96.454485,98.604727,37694751658.9377,61851097615.1431,53.6662,46.3338,0.062000,0.000000,29.6874
12,1900,19442558.0033,132485514.3867,96.454485,98.921460,40970031991.8989,66847443055.0241,53.8216,46.1783,0.063000,0.000000,29.8143
13,1900,19336365.3750,217804076.8204,96.454485,99.246111,44103316482.1979,71712588377.6819,53.9762,46.0238,0.064000,0.000000,29.1930
14,1900,20022155.0250,236104020.3672,96.454485,99.578879,47288412171.0100,76639848839.2286,54.1305,45.8695,0.065000,0.000000,29.5672
15,1900,20707944.6750,236104020.3672,96.454485,99.919965,50484877557.7472,81563916093.3557,54.2844,45.7156,0.066000,0.000000,29.2981
16,1900,21393734.3250,280461396.1937,96.454485,100.269579,53706190765.5191,86519875983.6882,54.4371,45.5629,0.067000,0.000000,29.6944
17,1900,22079523.9750,295019832.4699,96.454485,100.627932,56956325707.5411,91499755374.5689,54.5896,45.4104,0.068000,0.000000,29.4931
18,1900,22765313.6250,340154800.9214,96.454485,100.995245,60242770714.7508,96532461758.9043,54.7419,45.2581,0.069000,0.000000,29.8760
19,1900,23451103.2750,360898432.0974,96.454485,101.371740,63559675391.5911,101600109378.8780,54.8936,45.1064,0.070000,0.000000,29.7047
20,1900,24136892.9250,375569718.2279,96.454485,101.757648,66947071594.1333,106759783177.1669,55.0448,44.9552,0.071000,0.000000,30.0453
21,1900,24822682.5750,400258812.1474,96.454485,102.153204,70365580384.5932,111959583030.5664,55.1955,44.8045,0.072000,0.000000,29.8971
22,1900,25468983.2300,407817115.7463,96.454485,102.558648,73853190627.0560,117249221085.4994,55.3457,44.6542,0.073000,0.000000,30.1439
