Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,2702976.1175,0.0000,111.991870,98.907563,15657897945.6352,18902334545.5909,44.4403,55.5596,0.000000,0.000000,308.2528
1,1901,5199948.1839,0.0000,111.991870,98.334034,13178020546.4930,17633650374.1771,44.1612,55.8386,0.000000,0.000000,166.0915
2,1902,7404693.8292,0.0000,111.991870,98.032931,12663740740.5576,18231319185.1240,44.2520,55.7478,0.000000,0.000000,108.1705
3,1903,9502946.2629,0.0000,111.991870,97.874852,12642980821.6225,19239131126.8738,44.3532,55.6466,0.000000,0.000000,69.6177
4,1904,11503224.9418,0.0000,111.991870,97.791860,13079998900.0991,20668197046.6042,44.4589,55.5410,0.000000,0.000000,46.2681
0,1900,6947827.1829,0.0000,111.991870,97.748290,15656177986.2700,17538062075.8581,44.7762,55.2234,0.000000,0.000000,926.4011
1,1901,7047350.1661,0.0000,109.510177,97.725415,11183087377.1977,13980999307.5341,45.4235,54.5765,0.000000,0.000000,423.7175
2,1902,6937436.6097,0.0000,106.896885,97.713406,9871751877.4668,13862480340.3814,45.8008,54.1988,0.000000,0.000000,237.9904
3,1903,6795116.3849,0.0000,104.286151,97.707050,9260751154.0630,15406435519.2191,46.1700,53.8300,0.000000,0.000000,133.5517
4,1904,6619844.6383,0.0000,101.677409,97.703765,9378105331.0983,17225481311.8095,46.5300,53.4700,0.000000,0.000000,79.0349
5,1905,6414050.0035,0.0000,99.070246,97.702039,9887509203.4486,19172125969.4006,46.8995,53.1005,0.000000,0.000000,58.5329
0,1900,19882495.3476,0.0000,111.991870,97.701134,24032064373.8187,28192872437.6611,49.4206,50.5793,0.000000,0.000000,268.3495
1,1900,21579563.2018,0.0000,109.554642,97.700658,20756444257.4728,26474145537.0367,48.9028,51.0972,0.000000,0.000000,167.0444
2,1900,22302736.5466,0.0000,106.939345,97.700409,19613332986.6300,26738266450.5691,48.5703,51.4295,0.000000,0.000000,115.0159
3,1900,22757952.6941,0.0000,104.326241,97.700278,19095892326.6594,28031548214.2409,48.2373,51.7627,0.000000,0.000000,75.3668
4,1900,22950543.9740,0.0000,101.714975,97.700209,19491513237.9775,30315339702.2991,47.9012,52.0985,0.000000,0.000000,54.9383
0,1900,8876041.7997,0.0000,111.991870,97.700173,4532571359.2492,5059926744.9531,54.4577,45.5419,0.051000,0.000000,560.9820
1,1900,8024130.2611,1093105.2959,109.590472,97.700154,3988109943.9834,4769558088.8028,54.5651,45.4349,0.052000,0.000000,278.3959
2,1900,7450106.9759,1093105.2959,106.978583,97.700144,3708801824.3545,4795838239.5054,55.1934,44.8051,0.053000,0.000000,173.6153
3,1900,6913799.4051,2820479.4358,104.367504,97.700138,3600155380.2745,4983102837.9907,55.8328,44.1672,0.054000,0.000000,120.4342
4,1900,6410843.5462,2820479.4358,101.757206,97.700136,3599121963.5583,5273180520.8831,56.4873,43.5127,0.055000,0.000000,92.2531
0,1900,13353143.7812,0.0000,111.818384,97.700134,12114149926.0949,14900226731.1164,46.5790,53.4199,0.051000,0.000000,872.9561
1,1900,11987559.9438,0.0000,109.487153,97.700134,9895608091.3027,13200627832.5043,47.4767,52.5233,0.052000,0.000000,353.1203
2,1900,11002159.3340,0.0000,106.916681,97.700105,9020399531.7585,13078909386.5749,48.1411,51.8578,0.053000,0.000000,185.6703
3,1900,10315320.8411,6097993.2764,104.338165,97.699873,8902071779.9833,14034589118.4018,48.7966,51.2034,0.054000,0.000000,119.8470
4,1900,9657161.6656,6097993.2764,101.761124,97.699265,9162943341.9479,15190743693.9008,49.4415,50.5585,0.055000,0.000000,86.9819
5,1900,9023477.5607,11023256.3744,99.185434,97.698364,9669503446.7532,16491378338.0695,50.1026,49.8974,0.056000,0.000000,72.7400
0,1900,32636512.6590,425587.9884,111.818384,97.699204,42302872405.1482,45386599818.0129,52.3251,47.6748,0.051000,0.000000,665.5864
