Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,3475593.7734,0.0000,111.991870,98.907563,25276752155.4784,28866713276.9245,27.1564,72.8434,0.000000,0.000000,400.7345
1,1901,6711412.0882,0.0000,111.991870,98.334034,19791122421.1569,25198165603.0893,26.5920,73.4078,0.000000,0.000000,184.9039
2,1902,9589027.1212,0.0000,111.991870,98.032931,18439724031.2101,25495379183.7063,26.2586,73.7412,0.000000,0.000000,97.8228
3,1903,12327487.0315,0.0000,111.991870,97.874852,18544959670.0780,28280809533.1115,25.9318,74.0679,0.000000,0.000000,57.0465
4,1904,14937924.2290,0.0000,111.991870,97.791860,19644305792.4374,31549977801.9883,25.6098,74.3899,0.000000,0.000000,37.6492
0,1900,5294505.8511,0.0000,111.991870,97.748290,10509544655.4802,14658781766.4815,44.3062,55.6926,0.000000,0.000000,1137.8474
1,1901,5051205.4514,0.0000,109.510177,97.725415,7794624166.4025,12568642202.6094,45.7138,54.2862,0.000000,0.000000,476.3621
2,1902,4764292.9106,0.0000,106.896885,97.713406,6666930401.0577,12201498381.8155,46.3833,53.6157,0.000000,0.000000,232.0574
3,1903,4486828.4599,0.0000,104.286151,97.707050,6422924780.6031,13261607473.6528,47.0340,52.9660,0.000000,0.000000,135.2504
4,1904,4217203.9709,0.0000,101.677409,97.703765,6948671416.8964,14846600489.3047,47.6702,52.3298,0.000000,0.000000,87.1742
5,1905,3953742.8731,0.0000,99.070246,97.702039,7828272000.2522,16649128954.9971,48.3024,51.6976,0.000000,0.000000,68.8716
0,1900,19791828.5979,0.0000,111.991870,97.701134,68965334862.7520,88467099786.3521,49.0155,50.9845,0.000000,0.000000,1221.1390
1,1900,21776904.8640,0.0000,109.554642,97.700658,52050874020.5164,74533098870.9835,49.2762,50.7238,0.000000,0.000000,640.2978
2,1900,22647786.8711,0.0000,106.939345,97.700409,43743839646.8971,69618083347.2043,49.3209,50.6789,0.000000,0.000000,384.4496
3,1900,23226232.9861,0.0000,104.326241,97.700278,40089053919.4832,71842803878.7975,49.3522,50.6478,0.000000,0.000000,205.1620
4,1900,23516416.8053,0.0000,101.714975,97.700209,40123996475.0252,77440568518.1018,49.3711,50.6288,0.000000,0.000000,111.0916
0,1900,9269235.5329,0.0000,111.991870,97.700173,5960928539.1517,7243869453.6592,48.9370,51.0623,0.051000,0.000000,699.4522
1,1900,8164380.1425,0.0000,109.590472,97.700154,5249161534.6891,6799975813.9246,49.1706,50.8294,0.052000,0.000000,336.6015
2,1900,7550023.1347,1895953.5026,106.978583,97.700144,4941692066.7477,6848421674.5980,49.8595,50.1389,0.053000,0.000000,198.8506
3,1900,7006170.1107,1895953.5026,104.367504,97.700138,4939583990.2757,7189449193.1327,50.5594,49.4406,0.054000,0.000000,132.8890
4,1900,6495966.1199,1895953.5026,101.757206,97.700136,5131236787.7049,7715176717.2209,51.2758,48.7242,0.055000,0.000000,99.4930
0,1900,33100606.0730,0.0000,111.818384,97.700134,47031327431.4085,54473518295.2851,41.2183,58.7815,0.051000,0.000000,904.9782
1,1900,32431132.3105,0.0000,109.487153,97.700134,36382594482.5447,46189634453.9053,41.4978,58.5022,0.052000,0.000000,340.3223
2,1900,31866204.9112,0.0000,106.916681,97.700105,32189974692.9199,44426889412.5459,41.6066,58.3932,0.053000,0.000000,145.2292
3,1900,31441859.7345,0.0000,104.338165,97.699873,31908356719.8149,49037865232.4352,41.7027,58.2973,0.054000,0.000000,79.2984
4,1900,30831302.7364,5797265.6406,101.761124,97.699265,33189321537.7317,54006769582.4259,41.7910,58.2084,0.055000,0.000000,47.5846
5,1900,30042535.4020,25613830.8239,99.185434,97.698364,35495591192.0030,59376377788.1345,41.8692,58.1308,0.056000,0.000000,36.3679
0,1900,12006659.6642,0.0000,111.818384,97.699204,6886305111.3672,7615304326.8358,44.6275,55.3714,0.051000,0.000000,619.7138
1,1900,9948257.7576,0.0000,109.565167,97.699645,5815303594.5776,6866349629.1504,44.6592,55.3408,0.052000,0.000000,245.4831
2,1900,9186401.4012,0.0000,107.002680,97.699877,5264045752.6608,6731250403.3936,44.6903,55.3079,0.053000,0.000000,122.9922
3,1900,9465959.2674,0.0000,104.420807,97.699998,5152334275.4188,7013972073.2218,44.7306,55.2694,0.054000,0.000000,77.6404
4,1900,8786203.2557,8002167.9388,101.840198,97.700062,5182490724.6492,7423522943.2108,44.7762,55.2238,0.055000,0.000000,57.3931
5,1900,8142014.1931,13144016.7677,99.260805,97.700096,5274827570.6228,7886571925.1718,44.8245,55.1755,0.056000,0.000000,47.2440
6,1900,7529064.0242,19721441.3063,96.682581,97.700113,5393600931.1197,8373415238.8220,44.8714,55.1286,0.057000,0.000000,42.2517
7,1900,7418808.4261,23649476.3706,96.462662,97.700122,5522135388.7762,8870014156.0405,44.9191,55.0809,0.058000,0.000000,39.3708
8,1900,7332697.4504,25563214.7708,96.454485,97.700127,5682345440.7314,9402565531.9621,44.9685,55.0315,0.059000,0.000000,39.3258
9,1900,7257102.1032,29546920.3956,96.454485,97.994248,5855363491.1522,9953030255.0173,45.0170,54.9830,0.060000,0.000000,39.4245
10,1900,7191181.1341,32647821.4940,96.454485,98.295719,6035972184.0451,10523040647.4872,45.0657,54.9343,0.061000,0.000000,40.5084
11,1900,7134160.5930,38455353.9083,96.454485,98.604727,6214380838.7283,11098190201.0883,45.1161,54.8839,0.062000,0.000000,40.5415
12,1900,5067656.4258,47629596.4103,96.454485,98.921460,6401944670.4171,11692985514.0906,45.1654,54.8346,0.063000,0.000000,40.7564
13,1900,5005057.0200,55060877.1269,96.454485,99.246111,6534241751.3665,12235146694.9474,45.2164,54.7836,0.064000,0.000000,40.5324
14,1900,5050391.4000,66854702.6068,96.454485,99.578879,6709323779.7024,12824137871.3137,45.2663,54.7337,0.065000,0.000000,41.0848
15,1900,5095725.7800,77289741.0395,96.454485,99.919965,6875893498.8044,13403420491.9180,45.3164,54.6836,0.066000,0.000000,40.6397
16,1900,5141060.1600,83065427.0069,96.454485,100.269579,7071553845.8404,14015499275.4996,45.3714,54.6286,0.067000,0.000000,41.2580
17,1900,5186394.5400,97089901.5267,96.454485,100.627932,7270022297.0729,14629140232.9510,45.4232,54.5768,0.068000,0.000000,40.8633
18,1900,5231728.9200,114512018.2180,96.454485,100.995245,7471201170.9012,15249276321.4101,45.4741,54.5259,0.069000,0.000000,41.3785
19,1900,5277063.3000,114512018.2180,96.454485,101.371740,7680584778.8746,15877690786.0978,45.5252,54.4748,0.070000,0.000000,41.1342
20,1900,5322397.6800,118928598.3684,96.454485,101.757648,7910411749.7909,16529949725.2237,45.5765,54.4235,0.071000,0.000000,41.5142
21,1900,5367732.0600,123599084.0767,96.454485,102.153204,8153956494.8689,17197403023.6830,45.6281,54.3719,0.072000,0.000000,41.4045
22,1900,5413066.4400,126657969.9411,96.454485,102.558648,8409806426.8176,17879909222.4115,45.6800,54.3200,0.073000,0.000000,41.6139
23,1900,5458400.8200,130315819.3661,96.454485,102.974229,8685354844.8081,18584094124.9803,45.7336,54.2664,0.074000,0.000000,41.5611
24,1901,5503735.2000,130315819.3661,96.454485,103.400199,8984938414.1509,19314373545.5807,45.7892,54.2108,0.075000,0.000000,41.6523
25,1901,5549069.5800,142370473.2637,96.454485,103.836818,9293288275.4600,20056276411.7293,45.8435,54.1565,0.076000,0.000000,41.7189
26,1901,5594403.9600,150701811.5490,96.454485,104.284353,9615969880.8873,20813235947.7497,45.8963,54.1037,0.077000,0.000000,41.6870
0,1900,8863260.5556,14310.6265,111.818384,104.284353,3236206158.2187,3763176752.6313,43.8793,56.1199,0.051000,0.000000,353.1240
1,1900,8456262.1973,368356.2629,109.939783,104.284353,2907994745.7777,3705690232.0771,43.9376,56.0624,0.052000,0.000000,190.1600
2,1900,8160843.2165,2812305.3081,107.269804,104.284353,2828101092.3154,3904630050.4141,44.0720,55.9265,0.053000,0.000000,126.8123
3,1900,7854310.9681,3018265.5049,104.621286,104.284353,2926789351.6502,4326132202.6810,44.2376,55.7624,0.054000,0.000000,101.7972
4,1900,7536992.1030,3051003.8223,101.991338,104.284353,3107539250.1723,4814528116.8388,44.4170,55.5830,0.055000,0.000000,87.3185
