Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,3792094.8101,0.0000,111.991870,98.907563,38066199023.6785,42885842891.2889,50.7553,49.2446,0.000000,0.000000,1315.8108
1,1901,5997930.5242,0.0000,111.991870,98.334034,26854659406.6466,35087986731.2755,50.7126,49.2872,0.000000,0.000000,514.8707
2,1902,8489135.5823,0.0000,111.991870,98.032931,22261155327.4919,33537001596.7178,50.4233,49.5766,0.000000,0.000000,216.8686
3,1903,10860271.9557,0.0000,111.991870,97.874852,21382694817.4908,38973009238.2164,50.1243,49.8755,0.000000,0.000000,110.5548
4,1904,13120945.1392,0.0000,111.991870,97.791860,22920702606.0047,45233968311.9670,49.8240,50.1758,0.000000,0.000000,70.6157
0,1900,4641315.1297,0.0000,111.991870,97.748290,4848761718.2273,5504847581.2438,45.0387,54.9604,0.000000,0.000000,236.1635
1,1901,4467915.0782,0.0000,109.510177,97.725415,4531737156.9294,5509893101.5684,44.6737,55.3263,0.000000,0.000000,152.0782
2,1902,4254258.0402,0.0000,106.896885,97.713406,4335457249.0799,5631253930.8036,45.1016,54.8968,0.000000,0.000000,110.3624
3,1903,4042437.7004,0.0000,104.286151,97.707050,4302900810.1109,6003354223.4512,45.5457,54.4543,0.000000,0.000000,82.5486
4,1904,3831702.9697,0.0000,101.677409,97.703765,4403102419.9370,6495549113.1957,45.9931,54.0069,0.000000,0.000000,65.4734
5,1905,3620919.9238,0.0000,99.070246,97.702039,4576862815.6247,7039213163.0121,46.4477,53.5523,0.000000,0.000000,53.4083
0,1900,17511467.4917,0.0000,111.991870,97.701134,13081512315.0887,14963627275.6682,41.5870,58.4128,0.000000,0.000000,205.2022
1,1900,18846431.7788,0.0000,109.554642,97.700658,11604151741.6226,14581286588.4889,41.0554,58.9446,0.000000,0.000000,115.5661
2,1900,19225308.0922,0.0000,106.939345,97.700409,11284267252.5488,15246732643.0954,40.8749,59.1248,0.000000,0.000000,75.4286
3,1900,19410655.8220,0.0000,104.326241,97.700278,11375040763.1959,16511179885.2662,40.7459,59.2541,0.000000,0.000000,55.1498
4,1900,19402577.0025,0.0000,101.714975,97.700209,11818931489.3443,18014224338.5490,40.5768,59.4229,0.000000,0.000000,44.4741
0,1900,21819359.3701,0.0000,111.991870,97.700173,29838518112.9081,35326036199.4764,44.7978,55.2017,0.051000,0.000000,1568.6257
1,1900,19036032.3234,0.0000,109.590472,97.700154,23655265346.5958,31184615373.4578,45.8495,54.1505,0.052000,0.000000,658.1960
2,1900,17037406.8547,0.0000,106.978583,97.700144,20474518604.1650,29838530307.4284,46.4224,53.5773,0.053000,0.000000,279.7710
3,1900,15974753.9366,26399805.6449,104.367504,97.700138,20359864420.4458,31481466477.7256,46.9813,53.0187,0.054000,0.000000,143.5630
4,1900,15167087.6942,26399805.6449,101.757206,97.700136,21499591524.1585,34189834087.0547,47.0822,52.9178,0.055000,0.000000,92.6781
0,1900,32674765.1789,0.0000,111.818384,97.700134,30271191131.9966,34212347562.4552,39.4153,60.5845,0.051000,0.000000,594.0751
1,1900,33215300.4184,0.0000,109.487153,97.700134,24820548713.4206,30639311736.4680,39.1349,60.8651,0.052000,0.000000,233.8921
