Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,2716754.2140,0.0000,111.991870,98.907563,29539702772.3690,39663112586.2783,43.9168,56.0830,0.000000,0.000000,846.9764
1,1901,5179540.4260,0.0000,111.991870,98.334034,21044362019.8169,33181986738.7214,44.0054,55.9944,0.000000,0.000000,358.9709
2,1902,7439095.1919,0.0000,111.991870,98.032931,18639587583.1727,32851351461.7057,44.0754,55.9244,0.000000,0.000000,172.6101
3,1903,9589190.0565,0.0000,111.991870,97.874852,18062430210.3927,36404413094.9616,44.1442,55.8556,0.000000,0.000000,92.2592
4,1904,11638581.8120,0.0000,111.991870,97.791860,19501416330.8100,40974719654.2713,44.2138,55.7860,0.000000,0.000000,58.7561
0,1900,7928902.3541,0.0000,111.991870,97.748290,15484327321.3790,20001181635.0427,43.4804,56.5192,0.000000,0.000000,958.8125
1,1901,8028305.5189,0.0000,109.510177,97.725415,10948059592.0688,16441715033.6182,44.1623,55.8377,0.000000,0.000000,414.7248
2,1902,7953872.5942,0.0000,106.896885,97.713406,9594740943.0097,16271698838.7741,44.5152,55.4845,0.000000,0.000000,208.2850
3,1903,7833702.4462,0.0000,104.286151,97.707050,9459615451.9412,18289587557.0452,44.8583,55.1417,0.000000,0.000000,119.6932
4,1904,7669576.8025,0.0000,101.677409,97.703765,10208237990.2234,20738260407.4838,45.1942,54.8058,0.000000,0.000000,79.7230
5,1905,7463097.4742,0.0000,99.070246,97.702039,11449055242.1619,23438756603.4144,45.5424,54.4576,0.000000,0.000000,64.1055
0,1900,13558060.8414,0.0000,111.991870,97.701134,14093775966.4731,17893008575.7548,42.3227,57.6770,0.000000,0.000000,641.3002
1,1900,13629342.7271,0.0000,109.554642,97.700658,10673004306.9520,15728880176.2868,42.4117,57.5883,0.000000,0.000000,301.8626
2,1900,13285097.0369,0.0000,106.939345,97.700409,9682431957.2039,16009203935.0490,42.6835,57.3162,0.000000,0.000000,165.8576
