Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,489984.8282,0.0000,111.991870,98.907563,15346549714.0828,19209305136.3834,51.2218,48.7780,0.000000,0.000000,879.6189
1,1901,921748.1700,0.0000,111.991870,98.334034,12362657320.7833,17024563558.3707,51.9350,48.0648,0.000000,0.000000,507.7180
2,1902,1331873.5164,0.0000,111.991870,98.032931,10677879306.9300,16217193856.3111,52.7103,47.2895,0.000000,0.000000,324.9484
3,1903,1722091.9071,0.0000,111.991870,97.874852,9841596165.7141,16938340388.7768,53.4657,46.5341,0.000000,0.000000,190.1358
4,1904,2093995.8985,0.0000,111.991870,97.791860,9838707566.5710,18587490086.9503,54.1935,45.8064,0.000000,0.000000,120.6954
0,1900,7274134.6577,0.0000,111.991870,97.748290,14852729890.5021,19092541973.2588,52.9063,47.0935,0.000000,0.000000,318.5010
1,1901,9323843.5305,0.0000,109.510177,97.725415,12874620989.2091,18563086898.3706,52.3757,47.6243,0.000000,0.000000,163.1053
2,1902,10546032.4333,0.0000,106.896885,97.713406,12500274422.1516,19472729218.6802,51.9765,48.0232,0.000000,0.000000,98.2258
3,1903,11506282.0813,0.0000,104.286151,97.707050,12724451876.1634,21525375113.8423,51.5732,48.4268,0.000000,0.000000,70.0335
4,1904,12222630.6020,0.0000,101.677409,97.703765,13375735851.0929,23732562766.1147,51.1647,48.8350,0.000000,0.000000,58.2188
5,1905,12711362.6740,0.0000,99.070246,97.702039,14376129841.9419,26152081953.6202,50.7436,49.2564,0.000000,0.000000,52.0804
0,1900,9739809.2772,0.0000,111.991870,97.701134,19609656369.5034,25241992004.3745,50.4110,49.5888,0.000000,0.000000,1026.8630
1,1900,9512062.5948,0.0000,109.554642,97.700658,15786668922.6758,22274880241.5471,51.0682,48.9318,0.000000,0.000000,590.6628
2,1900,9153822.6510,0.0000,106.939345,97.700409,13607600712.8808,21140276098.6226,51.5100,48.4895,0.000000,0.000000,380.0295
3,1900,8779251.4146,0.0000,104.326241,97.700278,12578367287.1987,21071477235.6455,51.9485,48.0515,0.000000,0.000000,221.6957
4,1900,8394388.1789,0.0000,101.714975,97.700209,12532005106.3331,21949777492.2614,52.3777,47.6223,0.000000,0.000000,141.0232
0,1900,26281545.1579,0.0000,111.991870,97.700173,43507801517.0602,51606313889.7528,44.5670,55.4328,0.051000,0.000000,1390.0036
1,1900,24917740.6540,0.0000,109.590472,97.700154,32681452918.1157,43792171253.6483,44.8542,55.1458,0.052000,0.000000,582.7900
2,1900,23971581.5295,13704551.7465,106.978583,97.700144,26699947763.0722,40354792638.7801,44.8596,55.1403,0.053000,0.000000,248.9073
3,1900,23727317.2938,13704551.7465,104.367504,97.700138,25622858066.1425,44640002672.7029,44.8445,55.1555,0.054000,0.000000,122.5425
4,1900,23441393.5468,19098924.0377,101.757206,97.700136,26939527521.9810,49954335982.9620,44.8228,55.1768,0.055000,0.000000,74.5696
0,1900,33651562.7075,0.0000,111.818384,97.700134,18891421255.5231,21447041352.8187,43.6145,56.3854,0.051000,0.000000,261.2853
1,1900,34988347.0941,2083772.9487,109.487153,97.700134,17242985809.4431,21140637059.7411,43.1211,56.8789,0.052000,0.000000,137.0132
2,1900,34114821.6013,3519375.8467,106.916681,97.700105,16295944365.9260,21362798470.4074,42.8760,57.1239,0.053000,0.000000,83.7169
3,1900,33132130.9020,32322035.0097,104.338165,97.699873,16205291461.2412,22952120612.7591,42.6333,57.3667,0.054000,0.000000,55.3064
4,1900,32041122.2466,32431913.4473,101.761124,97.699265,16658365001.9453,24870559042.3446,42.3890,57.6106,0.055000,0.000000,39.4644
5,1900,30843129.6653,37475613.4238,99.185434,97.698364,17528432309.0736,27106097186.1694,42.1359,57.8641,0.056000,0.000000,33.1452
0,1900,46639103.4394,67582.7720,111.818384,97.699204,28343942042.6554,34291637098.7058,47.5652,52.4347,0.051000,0.000000,411.0179
1,1900,47893293.1332,9817644.3764,109.565167,97.699645,23970071644.1922,31555197086.4090,47.6342,52.3658,0.052000,0.000000,173.1413
2,1900,46181155.8364,11413084.8081,107.002680,97.699877,22071503058.8206,31207337333.7528,47.7020,52.2979,0.053000,0.000000,89.1144
3,1900,44399471.7881,38714219.3658,104.420807,97.699998,21903324363.5135,33329660116.8864,47.7702,52.2298,0.054000,0.000000,52.4155
4,1900,42544011.5665,38839216.2135,101.840198,97.700062,22611503289.2002,35949559815.9912,47.8380,52.1617,0.055000,0.000000,36.5681
5,1900,40610936.3246,38919379.6860,99.260805,97.700096,23831474596.4720,38875595210.4382,47.9058,52.0942,0.056000,0.000000,29.9188
6,1900,38596903.1499,76326093.2286,96.682581,97.700113,25308336431.8113,41972784792.0321,47.9741,52.0259,0.057000,0.000000,27.1270
7,1900,39122867.4443,116188768.8990,96.462662,97.700122,26952975204.9464,45195111656.2738,48.0424,51.9575,0.058000,0.000000,25.7360
8,1900,39796197.2748,126532983.9969,96.454485,97.700127,28814751699.9019,48666861483.6641,48.1104,51.8896,0.059000,0.000000,25.6349
9,1900,40477442.8028,132347337.4385,96.454485,97.994248,30867103239.0736,52370603982.4846,48.1787,51.8213,0.060000,0.000000,25.7067
10,1900,41165970.7726,139692799.3705,96.454485,98.295719,33097447970.1300,56322411349.6731,48.2469,51.7528,0.061000,0.000000,26.4069
11,1900,41861198.5888,163446887.9478,96.454485,98.604727,35460785395.1586,60465283772.9661,48.3148,51.6852,0.062000,0.000000,26.2379
12,1900,25163013.1569,201222618.2549,96.454485,98.921460,37999951969.7355,64865516779.4214,48.3829,51.6170,0.063000,0.000000,26.4876
13,1900,24757346.8500,214885199.4005,96.454485,99.246111,40527138727.6208,69293326015.9675,48.4508,51.5492,0.064000,0.000000,25.7465
14,1900,25524861.3250,226055211.7082,96.454485,99.578879,43119216253.7386,73833628611.9503,48.5188,51.4812,0.065000,0.000000,26.1155
15,1900,26237248.4550,257196854.5954,96.454485,99.919965,45754317638.5955,78441193968.9484,48.5868,51.4132,0.066000,0.000000,25.7763
16,1900,26906554.3650,289226083.9329,96.454485,100.269579,48429144872.9030,83106130200.8292,48.6540,51.3460,0.067000,0.000000,26.1760
17,1900,27546622.4300,321104505.6321,96.454485,100.627932,51133076281.7344,87800193082.2956,48.7217,51.2783,0.068000,0.000000,25.9915
18,1900,28181604.9600,341972956.5696,96.454485,100.995245,53936638592.2050,92610430137.8460,48.7895,51.2105,0.069000,0.000000,26.2952
19,1900,28785329.4450,360941017.8565,96.454485,101.371740,56800775309.9277,97496284651.2090,48.8573,51.1427,0.070000,0.000000,26.2110
20,1900,29385988.5950,389882131.7362,96.454485,101.757648,59755408693.1829,102497229524.2455,48.9250,51.0750,0.071000,0.000000,26.3844
21,1900,29986647.7450,424099647.1527,96.454485,102.153204,62776166521.5795,107592751828.4279,48.9926,51.0074,0.072000,0.000000,26.4188
22,1900,30587306.8950,429745411.2912,96.454485,102.558648,65863372520.0976,112779704402.6027,49.0603,50.9395,0.073000,0.000000,26.4433
23,1900,31187966.0450,451368962.3643,96.454485,102.974229,69016128338.1729,118062057866.6674,49.1276,50.8723,0.074000,0.000000,26.4381
24,1901,31788625.1950,457890921.4523,96.454485,103.400199,72256461764.1666,123458549875.6548,49.1948,50.8052,0.075000,0.000000,26.5336
25,1901,32389284.3450,484510003.0922,96.454485,103.836818,75565238652.5233,128953520609.2362,49.2621,50.7379,0.076000,0.000000,26.6452
26,1901,32989943.4950,505621389.3581,96.454485,104.284353,78920643898.3488,134513789802.0547,49.3295,50.6703,0.077000,0.000000,26.6199
0,1900,27887004.5952,12562.2080,111.818384,104.284353,11249707858.6195,13478854693.6484,43.8707,56.1289,0.051000,0.000000,992.5061
1,1900,24539663.2378,8297215.1007,109.939783,104.284353,8556014010.0558,11208832669.9511,43.9503,56.0497,0.052000,0.000000,362.7803
2,1900,23356774.8683,8297215.1007,107.269804,104.284353,7767418291.6460,11042704133.0766,43.9747,56.0245,0.053000,0.000000,162.1330
3,1900,22615279.1585,21525642.8879,104.621286,104.284353,7953916597.6353,12055453996.2535,44.0592,55.9408,0.054000,0.000000,110.1436
4,1900,21863826.5914,25252513.1939,101.991338,104.284353,8475079906.4945,13290994337.9293,44.1465,55.8535,0.055000,0.000000,84.2555
5,1900,19476789.9853,33714401.6747,99.374810,104.284353,9179833564.1292,14651947968.9043,44.2630,55.7370,0.056000,0.000000,72.3164
6,1900,18706670.7331,49860351.8712,96.768294,104.284353,9974239866.7653,16068935120.7017,44.3508,55.6492,0.057000,0.000000,65.5091
7,1900,18744673.0113,89804426.6438,96.455760,104.284353,10821771430.4960,17525814939.2591,44.4384,55.5616,0.058000,0.000000,62.2495
8,1900,18797331.5399,103034191.2511,96.454485,104.284353,11757014513.0868,19070059785.5914,44.5275,55.4725,0.059000,0.000000,61.2054
0,1900,65176594.0546,0.0000,111.818384,104.284353,16227670314.3485,18845287058.5560,35.4476,64.5522,0.051000,0.000000,406.4227
1,1900,64583482.3204,0.0000,109.726539,104.284353,14049599512.2725,18038396929.5449,35.5774,64.4226,0.052000,0.000000,182.1919
2,1900,62050968.1837,0.0000,107.130633,104.284353,14323664289.2687,19607737205.2197,35.7055,64.2942,0.053000,0.000000,100.2447
3,1900,59490676.8164,0.0000,104.537015,104.284353,15835058211.5384,23203581482.9766,35.8395,64.1605,0.054000,0.000000,66.8915
4,1900,56888553.8380,0.0000,101.945782,104.284353,17873026136.5518,26952683854.1139,35.9736,64.0258,0.055000,0.000000,50.2699
5,1900,52128462.4524,0.0000,99.356781,104.284353,20357028615.1690,30940959555.0052,36.1240,63.8760,0.056000,0.000000,43.5289
6,1900,49452487.6457,191546.2279,96.769864,104.284353,23062136360.1353,35065666272.6192,36.2590,63.7410,0.057000,0.000000,40.7156
7,1900,49497413.8757,326300.7815,96.454637,104.284353,25934816894.2743,39324946543.7411,36.3940,63.6057,0.058000,0.000000,39.2688
8,1900,49698909.7240,326300.7815,96.454485,104.284353,28985066732.2959,43776450717.6782,36.5286,63.4714,0.059000,0.000000,39.4694
9,1900,48213823.1796,390141.7307,96.454485,104.284353,32192998579.3873,48432336545.3118,36.6755,63.3245,0.060000,0.000000,40.2265
10,1900,48417527.8369,423026.8138,96.454485,104.284353,35535973554.3633,53272637678.8206,36.8099,63.1896,0.061000,0.000000,40.6134
11,1900,48622206.2109,531456.7028,96.454485,104.284353,39015835238.0195,58308195866.2789,36.9438,63.0562,0.062000,0.000000,40.5980
12,1900,40806813.9444,563307.6273,96.454485,104.284353,42648780994.8190,63568392413.3268,37.0777,62.9222,0.063000,0.000000,40.7616
13,1900,38354004.1122,618056.8892,96.454485,104.284353,46284711356.9499,68873171313.9386,37.2208,62.7792,0.064000,0.000000,40.1220
14,1900,38569822.4422,682855.4566,96.454485,104.284353,49971551583.7945,74269528570.9745,37.3541,62.6459,0.065000,0.000000,40.4956
15,1900,38775418.7422,752425.9790,96.454485,104.284353,53702596111.7870,79740495582.7358,37.4871,62.5129,0.066000,0.000000,40.3028
