Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,2810979.9390,0.0000,111.991870,98.907563,51950985735.8259,62586807413.4990,48.0150,51.9848,0.000000,0.000000,1508.0639
1,1901,5401742.5411,0.0000,111.991870,98.334034,34905389094.7769,49158287702.7572,48.8722,51.1276,0.000000,0.000000,686.7185
2,1902,7668793.1378,0.0000,111.991870,98.032931,28930127352.8482,46317823201.9722,48.9167,51.0832,0.000000,0.000000,350.1269
3,1903,9826458.0868,0.0000,111.991870,97.874852,27392627092.9744,52081206749.3429,48.9483,51.0515,0.000000,0.000000,177.8293
4,1904,11883488.2399,0.0000,111.991870,97.791860,29316335152.2779,59519226858.6277,48.9736,51.0262,0.000000,0.000000,89.7752
0,1900,15225297.9929,0.0000,111.991870,97.748290,21902200129.3512,24020839350.3073,33.3034,66.6964,0.000000,0.000000,361.7040
1,1901,16917979.4199,0.0000,109.510177,97.725415,17898753202.3688,21790253575.1065,32.8694,67.1306,0.000000,0.000000,176.8654
2,1902,17844894.7355,0.0000,106.896885,97.713406,16740238733.4660,22237135873.2430,32.5520,67.4477,0.000000,0.000000,99.2617
3,1903,18502481.0314,0.0000,104.286151,97.707050,16480670295.8043,24740952402.9601,32.2272,67.7728,0.000000,0.000000,61.6673
4,1904,18907717.1005,0.0000,101.677409,97.703765,16913667095.4845,27398192500.4063,31.8942,68.1051,0.000000,0.000000,45.3887
5,1905,19075931.2199,0.0000,99.070246,97.702039,17613927833.4952,30030810404.8647,31.5473,68.4527,0.000000,0.000000,38.6130
0,1900,28547863.2977,0.0000,111.991870,97.701134,41224957525.2871,50644026763.9653,36.9600,63.0398,0.000000,0.000000,1339.0855
1,1900,28889657.3769,0.0000,109.554642,97.700658,29282874225.2529,42276097411.0733,37.3948,62.6052,0.000000,0.000000,557.2988
2,1900,28409786.5408,0.0000,106.939345,97.700409,23341850861.1159,39367572606.5344,37.3580,62.6417,0.000000,0.000000,242.1886
3,1900,27791125.5423,0.0000,104.326241,97.700278,23278698470.1507,46099885464.5356,37.3029,62.6971,0.000000,0.000000,120.1201
