Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,2922711.5030,0.0000,111.991870,98.907563,56539133199.3222,73308551830.6304,48.2945,51.7054,0.000000,0.000000,1439.0452
1,1901,5604442.2612,0.0000,111.991870,98.334034,39805088604.8005,59641239803.7181,48.7044,51.2956,0.000000,0.000000,708.0393
2,1902,8023932.3803,0.0000,111.991870,98.032931,33517070027.8781,56150619312.1685,49.1742,50.8258,0.000000,0.000000,385.6594
3,1903,10326339.1699,0.0000,111.991870,97.874852,30889632466.6236,56214991730.5674,49.6274,50.3725,0.000000,0.000000,201.6768
4,1904,12521029.2963,0.0000,111.991870,97.791860,31869732130.2034,59584410470.6873,50.0659,49.9340,0.000000,0.000000,107.5984
0,1900,3471933.4732,0.0000,111.991870,97.748290,2364988091.9284,2961519231.1827,42.5086,57.4901,0.000000,0.000000,472.5237
1,1901,3280988.3120,0.0000,109.510177,97.725415,2014096900.7242,2832183586.5078,43.4609,56.5391,0.000000,0.000000,245.2302
2,1902,3060353.6059,0.0000,106.896885,97.713406,2014111868.1155,3083628023.4904,45.5004,54.4988,0.000000,0.000000,162.1678
3,1903,2851413.7202,0.0000,104.286151,97.707050,2084856242.1939,3439306229.3094,47.4503,52.5497,0.000000,0.000000,123.0612
4,1904,2652566.6972,0.0000,101.677409,97.703765,2236167190.5871,3861133808.3374,51.4273,48.5727,0.000000,0.000000,103.3380
5,1905,2462366.2571,0.0000,99.070246,97.702039,2429978063.3075,4315462186.8230,54.7500,45.2500,0.000000,0.000000,89.3173
0,1900,10401646.9337,0.0000,111.991870,97.701134,18001676050.6595,21720863600.3948,37.5822,62.4176,0.000000,0.000000,907.4163
1,1900,10680813.9511,0.0000,109.554642,97.700658,12936774026.0339,17988210325.9327,37.9096,62.0904,0.000000,0.000000,383.8723
2,1900,10656205.4255,0.0000,106.939345,97.700409,11247057265.8767,17846581304.8259,38.1422,61.8575,0.000000,0.000000,202.6750
3,1900,10562195.0894,0.0000,104.326241,97.700278,11007055503.3457,20732440860.0279,38.3739,61.6261,0.000000,0.000000,117.3570
4,1900,10388652.9573,0.0000,101.714975,97.700209,12037126587.1322,24153361388.1865,38.6058,61.3942,0.000000,0.000000,78.2681
0,1900,8625485.4467,47457.4478,111.991870,97.700173,9437306755.7597,11539423355.2682,40.0007,59.9985,0.051000,0.000000,616.7699
1,1900,7814868.1542,67597.9969,109.590472,97.700154,8297661332.8097,10967600390.2624,40.0716,59.9284,0.052000,0.000000,285.3855
2,1900,7426283.9998,67597.9969,106.978583,97.700144,7778904037.5735,11060574879.0324,40.5010,59.4976,0.053000,0.000000,160.1129
3,1900,7046902.1374,4442562.9041,104.367504,97.700138,7793023464.9187,11634896339.2164,40.9424,59.0576,0.054000,0.000000,106.1455
4,1900,6674643.5491,14221143.3344,101.757206,97.700136,8095455275.1560,12471676198.3439,41.3758,58.6242,0.055000,0.000000,80.0544
0,1900,22450744.9341,88801.0262,111.818384,97.700134,21867451186.1562,24880895844.2464,46.0743,53.9255,0.051000,0.000000,411.8628
1,1900,23403343.6011,9287569.9321,109.487153,97.700134,18481916101.1411,22918562797.0460,45.9942,54.0058,0.052000,0.000000,190.5008
2,1900,23336341.4700,22801874.1182,106.916681,97.700105,16988308143.1460,22887598418.5884,46.0891,53.9107,0.053000,0.000000,111.2230
3,1900,23112884.0526,35520111.5479,104.338165,97.699873,16733024430.0987,23930172553.9619,46.1829,53.8171,0.054000,0.000000,68.5810
4,1900,22740462.5099,35697301.3659,101.761124,97.699265,17277331955.2578,25713714329.0067,46.2726,53.7270,0.055000,0.000000,48.4028
5,1900,22225787.7829,43285394.4893,99.185434,97.698364,18230219405.5945,27867322402.2888,46.3522,53.6478,0.056000,0.000000,38.9343
0,1900,8546390.4618,0.0000,111.818384,97.699204,3370798949.1151,4055136061.4614,53.6343,46.3651,0.051000,0.000000,299.5221
1,1900,8031428.2127,0.0000,109.565167,97.699645,3188291466.1985,4139950183.5425,53.7706,46.2294,0.052000,0.000000,155.3231
