Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,3135187.0822,0.0000,111.991870,98.907563,18672800909.8476,21878390780.4620,47.1291,52.8708,0.000000,0.000000,248.4004
1,1901,6016927.3368,0.0000,111.991870,98.334034,16057326788.1953,20678856868.7771,46.8647,53.1351,0.000000,0.000000,122.7776
2,1902,8615598.1498,0.0000,111.991870,98.032931,15284785272.6747,21144915014.6864,46.8442,53.1557,0.000000,0.000000,71.0355
3,1903,11088509.2978,0.0000,111.991870,97.874852,15416616621.4851,23155378380.3239,46.8307,53.1692,0.000000,0.000000,44.3267
4,1904,13445721.5540,0.0000,111.991870,97.791860,16182642980.6158,25483662885.9227,46.8213,53.1786,0.000000,0.000000,31.1593
0,1900,9164753.1055,0.0000,111.991870,97.748290,24143845274.4436,31396607254.9210,36.7478,63.2517,0.000000,0.000000,1499.6483
1,1901,9309922.3987,0.0000,109.510177,97.725415,17271650641.6396,26105392398.0853,38.9256,61.0744,0.000000,0.000000,644.9230
2,1902,9146092.3514,0.0000,106.896885,97.713406,13641360911.9072,23937582690.5852,39.9835,60.0159,0.000000,0.000000,287.1011
3,1903,8941762.0864,0.0000,104.286151,97.707050,13338619678.9840,25068571245.7458,41.0024,58.9976,0.000000,0.000000,145.1382
4,1904,8698033.9051,0.0000,101.677409,97.703765,14396970312.0877,27417056340.6913,41.2975,58.7025,0.000000,0.000000,87.2886
5,1905,8415861.5429,0.0000,99.070246,97.702039,16194798832.5176,30439544897.0066,41.6057,58.3943,0.000000,0.000000,62.3477
0,1900,19302463.5300,0.0000,111.991870,97.701134,16147767006.1829,17651039101.0956,43.0109,56.9888,0.000000,0.000000,273.0493
1,1900,22911308.3926,0.0000,109.554642,97.700658,13684332687.3159,16600139262.8518,42.6231,57.3769,0.000000,0.000000,137.1725
2,1900,22990292.0363,0.0000,106.939345,97.700409,13037405896.8363,17199135809.3727,42.4738,57.5259,0.000000,0.000000,81.2600
3,1900,22894572.3271,0.0000,104.326241,97.700278,12971287541.1762,18299893655.1035,42.3261,57.6739,0.000000,0.000000,57.2300
4,1900,22621810.9593,0.0000,101.714975,97.700209,13177533708.0215,19627861223.0400,42.1782,57.8212,0.000000,0.000000,44.6377
0,1900,21756782.8054,0.0000,111.991870,97.700173,14872205858.5331,19148618267.4243,53.3860,46.6135,0.051000,0.000000,733.3749
1,1900,20996957.0623,0.0000,109.590472,97.700154,12645422308.4696,17868459405.7631,53.3038,46.6962,0.052000,0.000000,312.1215
2,1900,19811053.7349,8710627.4613,106.978583,97.700144,11484067250.8698,17811726784.5749,53.3018,46.6981,0.053000,0.000000,162.9650
3,1900,18733471.5903,11956854.3642,104.367504,97.700138,11260348153.8707,19313664578.7552,53.3013,46.6987,0.054000,0.000000,101.5967
4,1900,17679251.9632,23086659.6768,101.757206,97.700136,11634895281.6908,21114821492.2648,53.2964,46.7036,0.055000,0.000000,75.3211
0,1900,37239386.0376,1382.5823,111.818384,97.700134,19889156375.1477,21958833158.9458,51.0670,48.9330,0.051000,0.000000,218.7364
1,1900,38697391.0647,1694335.2488,109.487153,97.700134,18028169832.7828,21344099534.4408,50.6543,49.3457,0.052000,0.000000,119.3737
2,1900,37747530.7737,12154482.1508,106.916681,97.700105,16988112053.4631,21440826560.4707,50.4455,49.5544,0.053000,0.000000,76.8364
3,1900,36673466.3135,27462144.5421,104.338165,97.699873,16750622009.4436,22267512862.0219,50.2374,49.7626,0.054000,0.000000,50.1888
4,1900,35476415.4858,34881420.2470,101.761124,97.699265,17109922141.2350,23658431603.1226,50.0266,49.9731,0.055000,0.000000,36.8256
5,1900,34158023.2712,35070672.5490,99.185434,97.698364,17813561135.8214,25387307707.5971,49.8093,50.1907,0.056000,0.000000,29.7927
0,1900,39995225.6302,0.0000,111.818384,97.699204,26742264421.9556,34340149613.9239,37.5785,62.4213,0.051000,0.000000,890.4071
1,1900,37920045.4971,6058154.4886,109.565167,97.699645,20886787303.9784,29847110989.0619,37.9420,62.0580,0.052000,0.000000,361.9667
2,1900,35494836.2970,6058154.4886,107.002680,97.699877,18321486680.4606,28813249350.6181,38.2802,61.7196,0.053000,0.000000,169.3448
