Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,512587.9626,0.0000,111.991870,98.907563,8333979786.3964,9958013435.3863,45.8508,54.1486,0.000000,0.000000,653.1300
1,1901,987180.8308,0.0000,111.991870,98.334034,6414330858.4730,8760417375.0080,46.0378,53.9615,0.000000,0.000000,286.6503
2,1902,1414020.7643,0.0000,111.991870,98.032931,5979766736.7894,9043934597.2381,46.6277,53.3717,0.000000,0.000000,151.1470
3,1903,1820201.8872,0.0000,111.991870,97.874852,5929309950.4616,10259948090.1486,47.2152,52.7842,0.000000,0.000000,91.2586
4,1904,2207376.9042,0.0000,111.991870,97.791860,6423561682.2831,11753539674.2859,47.7941,52.2054,0.000000,0.000000,64.4670
0,1900,2351393.4790,0.0000,111.991870,97.748290,8638399891.9891,9600183783.3618,40.9248,59.0743,0.000000,0.000000,609.6433
1,1901,2623590.0704,0.0000,109.510177,97.725415,6591070975.2119,8241464773.8899,41.3215,58.6785,0.000000,0.000000,278.8069
2,1902,2681552.5332,0.0000,106.896885,97.713406,5963838698.0445,8305187570.1152,41.8304,58.1691,0.000000,0.000000,147.6950
3,1903,2711555.3370,0.0000,104.286151,97.707050,5735517659.3363,9402801216.2986,42.3392,57.6608,0.000000,0.000000,88.3127
4,1904,2715156.4951,0.0000,101.677409,97.703765,5872507710.7483,10568733325.3105,42.8436,57.1564,0.000000,0.000000,61.9492
5,1905,2693762.5109,0.0000,99.070246,97.702039,6160270731.3953,11729205513.2671,43.3549,56.6451,0.000000,0.000000,51.4505
0,1900,5608013.7952,0.0000,111.991870,97.701134,10202859934.0423,12540476120.1969,47.2521,52.7476,0.000000,0.000000,501.7411
1,1900,6039555.2455,0.0000,109.554642,97.700658,8136748630.6079,11386361587.6789,47.3406,52.6594,0.000000,0.000000,253.8748
2,1900,6003590.3514,0.0000,106.939345,97.700409,7561535778.0783,11664632427.7600,47.8153,52.1844,0.000000,0.000000,152.1568
3,1900,5932073.5358,0.0000,104.326241,97.700278,7321489221.1904,12857815010.1606,48.2981,51.7019,0.000000,0.000000,93.0893
4,1900,5820505.7279,0.0000,101.714975,97.700209,7678819145.2329,14368709707.7215,48.7819,51.2181,0.000000,0.000000,63.8344
0,1900,16360942.6613,142592.7241,111.991870,97.700173,16601936434.2145,19176580998.4429,40.5463,59.4536,0.051000,0.000000,388.8958
1,1900,17969642.5966,954575.6087,109.590472,97.700154,15009117992.1999,18797082887.5067,40.2350,59.7650,0.052000,0.000000,195.6208
2,1900,18065219.2603,2167263.1842,106.978583,97.700144,14266227317.5750,19203985887.4890,40.1215,59.8783,0.053000,0.000000,122.3873
3,1900,18022071.5903,11072508.0719,104.367504,97.700138,14258754483.3556,20227749005.7408,40.0108,59.9892,0.054000,0.000000,78.5674
4,1900,17845774.3712,11511627.3960,101.757206,97.700136,14753194781.0143,21719175163.1971,39.8933,60.1064,0.055000,0.000000,55.6409
0,1900,6841875.8415,9202.4283,111.818384,97.700134,2297489835.8887,2590726251.9293,50.1313,49.8681,0.051000,0.000000,188.9815
1,1900,6427889.2431,299323.5401,109.487153,97.700134,2198934583.7441,2716744883.5596,50.0195,49.9805,0.052000,0.000000,135.3231
2,1900,5964301.9992,2575956.3708,106.916681,97.700105,2143473735.1885,2884116293.7598,51.9086,48.0901,0.053000,0.000000,104.7237
3,1900,5532350.2289,3457412.3068,104.338165,97.699873,2132669507.0978,3106815859.0298,53.7229,46.2771,0.054000,0.000000,86.7318
4,1900,5128370.2453,3613738.2936,101.761124,97.699265,2139428503.7146,3346109940.7454,55.4865,44.5135,0.055000,0.000000,73.0593
5,1900,4749045.2688,3675882.8900,99.185434,97.698364,2167387166.7086,3601663247.6105,57.1093,42.8907,0.056000,0.000000,63.5629
0,1900,23172126.3097,0.0000,111.818384,97.699204,14678369305.5406,16116186824.9476,33.2801,66.7198,0.051000,0.000000,140.9083
1,1900,27104235.0334,3434235.9239,109.565167,97.699645,13545674579.2526,15783909454.3722,33.4476,66.5524,0.052000,0.000000,69.5306
2,1900,27222779.3155,3434235.9239,107.002680,97.699877,13119388385.3103,16092139646.6238,33.6665,66.3333,0.053000,0.000000,42.0959
3,1900,27128991.2023,3434235.9239,104.420807,97.699998,13214129947.0548,16892674257.4873,33.9337,66.0663,0.054000,0.000000,30.7194
4,1900,26833852.1572,11564108.2981,101.840198,97.700062,13537560217.0900,17906023874.7470,34.1172,65.8826,0.055000,0.000000,25.2781
5,1900,26347220.2531,14531720.3815,99.260805,97.700096,14008832140.3930,19063802370.4141,34.3009,65.6991,0.056000,0.000000,22.5476
6,1900,25678297.7149,14531720.3815,96.682581,97.700113,14577577767.6386,20321896969.3553,34.4852,65.5148,0.057000,0.000000,20.8689
7,1900,26624443.3421,14531720.3815,96.462662,97.700122,15260061191.5646,21702039657.0839,34.6771,65.3226,0.058000,0.000000,20.4318
8,1900,27622010.5937,21389909.7297,96.454485,97.700127,16022860483.9565,23174673612.7755,34.8524,65.1476,0.059000,0.000000,20.3488
9,1900,28597054.9632,26215235.3782,96.454485,97.994248,16858860915.3989,24735006617.9105,35.0357,64.9643,0.060000,0.000000,20.3718
10,1900,29551378.2812,29953578.5146,96.454485,98.295719,17781925355.9036,26416573233.9088,35.2186,64.7811,0.061000,0.000000,21.1341
11,1900,30486638.2317,33627453.5980,96.454485,98.604727,18763913450.2015,28173763991.6802,35.4014,64.5986,0.062000,0.000000,21.4071
12,1900,17899420.0697,48753590.4687,96.454485,98.921460,19861910778.7237,30110690548.8169,35.5837,64.4161,0.063000,0.000000,23.3188
13,1900,17971112.8500,59469779.5522,96.454485,99.246111,20907257667.4615,31996704098.0957,35.7651,64.2349,0.064000,0.000000,22.9182
14,1900,18687144.0750,59469779.5522,96.454485,99.578879,21976319027.9315,33917741342.4664,35.9447,64.0553,0.065000,0.000000,23.1634
15,1900,19403175.3000,66661981.7859,96.454485,99.919965,23038186919.0056,35826272112.3084,36.1305,63.8695,0.066000,0.000000,22.7264
16,1900,20112729.6000,72339441.1784,96.454485,100.269579,24139378092.3215,37789292465.1031,36.3141,63.6859,0.067000,0.000000,23.0499
17,1900,20796937.2150,72339441.1784,96.454485,100.627932,25253412338.7377,39764643484.0766,36.4930,63.5070,0.068000,0.000000,22.7996
18,1900,21441878.7850,89919594.0425,96.454485,100.995245,26388568191.6026,41776055530.0988,36.6717,63.3283,0.069000,0.000000,23.2086
19,1900,22054488.9650,93923678.0320,96.454485,101.371740,27542603023.9526,43808171493.1318,36.8098,63.1902,0.070000,0.000000,23.0933
20,1900,22643225.7500,111685178.6650,96.454485,101.757648,28726555144.7571,45887935677.9340,36.9047,63.0953,0.071000,0.000000,23.6299
21,1900,23231962.5350,111685178.6650,96.454485,102.153204,29925295807.5110,47981818451.4777,37.0797,62.9203,0.072000,0.000000,23.4791
22,1900,23820699.3200,115116304.9439,96.454485,102.558648,31172824520.8766,50140137017.9942,37.2533,62.7464,0.073000,0.000000,23.9975
23,1900,24409436.1050,121101854.5020,96.454485,102.974229,32419391949.1102,52295689514.2094,37.4297,62.5702,0.074000,0.000000,23.8045
24,1901,24998172.8900,124700316.0608,96.454485,103.400199,33708659250.1732,54508362379.1103,37.6053,62.3947,0.075000,0.000000,24.3079
25,1901,25586909.6750,144635678.5483,96.454485,103.836818,34982981114.0928,56701048968.6469,37.7807,62.2193,0.076000,0.000000,24.0181
26,1901,26175646.4600,150467701.6282,96.454485,104.284353,36295640962.3945,58944942070.4454,37.9558,62.0440,0.077000,0.000000,24.5017
0,1900,52563399.0511,0.0000,111.818384,104.284353,14815011821.7683,16407702855.8662,50.8488,49.1510,0.051000,0.000000,164.4262
1,1900,55750562.8232,0.0000,109.939783,104.284353,15633392321.3559,18257198746.6389,50.8686,49.1314,0.052000,0.000000,103.9853
2,1900,54427801.8330,0.0000,107.269804,104.284353,17280996790.7105,20847632712.6209,50.9000,49.0998,0.053000,0.000000,78.0135
3,1900,52919716.6373,4686250.7329,104.621286,104.284353,19407536361.0320,24054867903.6642,50.9256,49.0744,0.054000,0.000000,64.7575
4,1900,51236446.4779,9302942.8002,101.991338,104.284353,21752983149.5585,27397026234.0922,50.9521,49.0476,0.055000,0.000000,57.0828
5,1900,48330477.1246,9302942.8002,99.374810,104.284353,24293573531.3744,30896841552.4973,50.9839,49.0161,0.056000,0.000000,53.0216
6,1900,46323569.8673,12206543.6686,96.768294,104.284353,27068967779.4607,34618717067.6890,51.0115,48.9885,0.057000,0.000000,51.1438
7,1900,47030065.1160,18325535.4890,96.455760,104.284353,29973877880.8031,38473555561.5801,51.0393,48.9605,0.058000,0.000000,50.4620
8,1900,47863839.0250,18325535.4890,96.454485,104.284353,32996473840.6027,42459614420.5171,51.0670,48.9330,0.059000,0.000000,50.2920
0,1900,81808246.9672,0.0000,111.818384,104.284353,29936274189.0224,32613029308.3542,55.0225,44.9774,0.051000,0.000000,958.8822
1,1900,72905072.4619,0.0000,109.726539,104.284353,24760362428.5464,28642248790.1080,55.1126,44.8874,0.052000,0.000000,572.9913
2,1900,70044772.5407,0.0000,107.130633,104.284353,21370849476.4944,26772718309.6115,55.2097,44.7902,0.053000,0.000000,354.4255
3,1900,67609607.8840,4267397.9800,104.537015,104.284353,19885094564.3393,26718200733.9000,55.3247,44.6753,0.054000,0.000000,212.0862
4,1900,65205480.0351,5165720.3674,101.945782,104.284353,20197122352.4354,28375015369.5331,55.4372,44.5628,0.055000,0.000000,137.0698
5,1900,57317008.0451,7271366.5730,99.356781,104.284353,21335013976.8174,30815455056.1899,55.5482,44.4518,0.056000,0.000000,98.0335
6,1900,54944879.6744,8075085.0143,96.769864,104.284353,22898429469.7222,33651092124.8199,55.6276,44.3724,0.057000,0.000000,70.4689
7,1900,54804850.8727,8668574.1785,96.454637,104.284353,24686278685.4552,36705450159.8446,55.7056,44.2941,0.058000,0.000000,55.5807
8,1900,54780380.7397,8707544.1971,96.454485,104.284353,26659855319.0656,39954362900.5845,55.7828,44.2172,0.059000,0.000000,47.5347
9,1900,50368468.0693,8894069.9830,96.454485,104.284353,28752139864.1322,43353498995.2240,55.8596,44.1404,0.060000,0.000000,43.0566
10,1900,50371425.8671,9066997.9407,96.454485,104.284353,30921068975.3121,46866765497.6717,55.9360,44.0640,0.061000,0.000000,41.1551
11,1900,50386474.8111,9368020.8562,96.454485,104.284353,33147479385.9222,50483752974.3157,56.0126,43.9874,0.062000,0.000000,40.2159
12,1900,43634904.0778,9408918.0730,96.454485,104.284353,35443943756.8323,54217015413.2054,56.0886,43.9112,0.063000,0.000000,40.0062
13,1900,39418458.0201,9589994.5008,96.454485,104.284353,37597179765.7627,57823178188.7694,56.1644,43.8356,0.064000,0.000000,39.4062
14,1900,39572555.1451,9833847.4129,96.454485,104.284353,39975481492.9007,61661433478.3693,56.2402,43.7598,0.065000,0.000000,39.8998
15,1900,39720373.2701,9921961.1633,96.454485,104.284353,42389605609.2363,65515188135.8900,56.3159,43.6841,0.066000,0.000000,39.3328
16,1900,39866360.0201,10125154.8016,96.454485,104.284353,44924350742.7949,69494539107.3794,56.3916,43.6084,0.067000,0.000000,40.0527
