Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,2630633.5177,0.0000,111.991870,98.907563,18010203761.2786,21814025066.8091,39.7379,60.2620,0.000000,0.000000,398.9499
1,1901,5055117.5411,0.0000,111.991870,98.334034,14175706943.9322,19555287606.8066,39.4204,60.5795,0.000000,0.000000,178.0774
2,1902,7174485.8878,0.0000,111.991870,98.032931,13222858275.2788,20018401071.8798,39.3702,60.6297,0.000000,0.000000,93.3129
3,1903,9191605.5068,0.0000,111.991870,97.874852,13288017531.4898,22429539279.9833,39.3275,60.6724,0.000000,0.000000,56.1434
4,1904,11114656.2963,0.0000,111.991870,97.791860,14183601571.1523,25215275257.3627,39.2899,60.7100,0.000000,0.000000,39.5781
0,1900,13771165.2872,0.0000,111.991870,97.748290,18968213740.0183,22572915878.5727,48.8131,51.1867,0.000000,0.000000,609.2143
1,1901,15072410.7969,0.0000,109.510177,97.725415,14013142658.2865,19521779785.6266,48.5498,51.4502,0.000000,0.000000,271.4452
2,1902,15353749.5326,0.0000,106.896885,97.713406,12598773634.0079,19877098449.8399,48.3167,51.6830,0.000000,0.000000,141.9753
3,1903,15482701.9827,0.0000,104.286151,97.707050,12687765167.5133,21518940457.5113,48.0799,51.9201,0.000000,0.000000,86.0843
4,1904,15467586.8510,0.0000,101.677409,97.703765,13614923240.9707,23892725887.7863,47.8399,52.1597,0.000000,0.000000,61.3317
5,1905,15315913.9097,0.0000,99.070246,97.702039,15045313125.2008,26719765160.4662,47.5834,52.4166,0.000000,0.000000,51.5101
0,1900,24442017.7197,0.0000,111.991870,97.701134,59938932511.0464,74293291903.7225,50.1916,49.8083,0.000000,0.000000,1525.8377
1,1900,26056703.3509,0.0000,109.554642,97.700658,43853970742.8689,61864599922.7092,50.9628,49.0372,0.000000,0.000000,884.3016
2,1900,25630004.0014,0.0000,106.939345,97.700409,37613002109.3407,58578027190.8346,51.3107,48.6891,0.000000,0.000000,545.8276
3,1900,25090282.2386,0.0000,104.326241,97.700278,33639743407.4034,60602088312.9470,51.6498,48.3502,0.000000,0.000000,293.6049
4,1900,24425538.2575,0.0000,101.714975,97.700209,34271004293.3038,67366142652.3041,51.5695,48.4302,0.000000,0.000000,170.6295
0,1900,9905439.8273,114586.7470,111.991870,97.700173,6205869810.3263,8122715691.5083,49.8246,50.1743,0.051000,0.000000,885.9868
1,1900,8549212.9901,1281451.5518,109.590472,97.700154,5111642133.8008,7249494391.6087,50.3397,49.6603,0.052000,0.000000,393.2660
2,1900,7664120.9299,7995029.4574,106.978583,97.700144,4745503049.8367,7262273189.3413,51.1179,48.8813,0.053000,0.000000,236.6712
3,1900,7079178.0218,10526105.4951,104.367504,97.700138,4730481796.9610,7847767777.2551,51.9061,48.0939,0.054000,0.000000,156.0483
4,1900,6534085.9930,14028380.5181,101.757206,97.700136,4933667137.5001,8576772896.3180,54.0166,45.9834,0.055000,0.000000,115.8884
0,1900,28175270.0302,267896.5445,111.818384,97.700134,37384471025.4027,44940410718.8540,48.1618,51.8380,0.051000,0.000000,1283.1181
1,1900,26338593.0365,20053126.1347,109.487153,97.700134,30237170181.7495,39835970135.2052,48.9312,51.0688,0.052000,0.000000,571.6131
2,1900,24471237.6352,44923996.8516,106.916681,97.700105,26654566512.6235,38482773264.4956,49.6588,50.3410,0.053000,0.000000,293.0817
3,1900,23355111.5942,45079595.5201,104.338165,97.699873,25920103887.5077,42202832821.6924,50.3698,49.6302,0.054000,0.000000,155.0716
4,1900,22293943.8676,56840880.3642,101.761124,97.699265,26864501599.9626,46587212365.3092,50.5058,49.4942,0.055000,0.000000,89.0642
5,1900,21208425.4241,80388670.9730,99.185434,97.698364,28892634589.7012,51550937950.8546,50.6659,49.3341,0.056000,0.000000,62.8788
0,1900,42155564.6389,517146.0207,111.818384,97.699204,50613029690.4115,54698745726.6421,47.7926,52.2072,0.051000,0.000000,932.6067
1,1900,43458510.2530,26040070.8201,109.565167,97.699645,40102153164.1296,46745462126.2596,47.9982,52.0018,0.052000,0.000000,439.5066
