Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,2385995.2617,0.0000,111.991870,98.907563,32972151158.1454,41810464330.7771,42.4822,57.5176,0.000000,0.000000,1033.6233
1,1901,4664659.2779,0.0000,111.991870,98.334034,24842748657.1286,36189159645.1318,42.6664,57.3334,0.000000,0.000000,493.8429
2,1902,6597468.7856,0.0000,111.991870,98.032931,20393175140.8069,34200261646.4065,42.7051,57.2947,0.000000,0.000000,277.9467
3,1903,8437146.3928,0.0000,111.991870,97.874852,20030417439.4607,36045110909.2565,42.7407,57.2592,0.000000,0.000000,151.6481
4,1904,10191142.6514,0.0000,111.991870,97.791860,21131664408.7022,39141090188.7393,42.7735,57.2264,0.000000,0.000000,90.0020
0,1900,6288128.6179,0.0000,111.991870,97.748290,11140256539.9747,13326610216.1089,41.7450,58.2543,0.000000,0.000000,705.0829
1,1901,6534688.5453,0.0000,109.510177,97.725415,8732778189.0137,11577192297.5124,42.0386,57.9614,0.000000,0.000000,327.3004
2,1902,6444258.6672,0.0000,106.896885,97.713406,7840926495.9699,11565989820.8898,42.2732,57.7257,0.000000,0.000000,182.2566
3,1903,6321654.7727,0.0000,104.286151,97.707050,7679354854.5919,12797559450.6261,42.5089,57.4911,0.000000,0.000000,113.1128
4,1904,6167880.1686,0.0000,101.677409,97.703765,8252776355.3546,14551410328.6413,42.7432,57.2568,0.000000,0.000000,80.7041
5,1905,5983868.2635,0.0000,99.070246,97.702039,9125345733.6501,16480628737.8317,42.9932,57.0068,0.000000,0.000000,66.3207
0,1900,4139625.6603,0.0000,111.991870,97.701134,2477101768.2256,3520044557.9915,36.2529,63.7462,0.000000,0.000000,1061.0134
1,1900,3890150.5452,0.0000,109.554642,97.700658,1890942131.8859,3090880109.8221,42.6980,57.3020,0.000000,0.000000,513.7930
2,1900,3597033.3665,0.0000,106.939345,97.700409,1711207488.6535,3162691217.2048,47.4442,52.5538,0.000000,0.000000,324.6282
3,1900,3322544.6837,0.0000,104.326241,97.700278,1724042205.5830,3528181868.6636,51.5579,48.4421,0.000000,0.000000,238.1878
4,1900,3064469.3848,0.0000,101.714975,97.700209,1837334632.0658,3963206233.5190,58.5172,41.4828,0.000000,0.000000,187.0839
