Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,1648409.9400,0.0000,111.991870,98.907563,25386298248.6213,28356035770.6828,48.0969,51.9029,0.000000,0.000000,1082.6512
1,1901,3176722.0974,0.0000,111.991870,98.334034,17149559894.7903,22157631182.7999,48.5423,51.4575,0.000000,0.000000,459.8226
2,1902,4514299.1296,0.0000,111.991870,98.032931,14273953451.0997,21197043982.3316,48.7862,51.2136,0.000000,0.000000,213.8378
3,1903,5787315.7272,0.0000,111.991870,97.874852,13553389483.7190,22184142495.8382,49.0225,50.9773,0.000000,0.000000,110.2261
4,1904,7000936.7250,0.0000,111.991870,97.791860,14166666583.7040,24320312056.8739,49.2555,50.7443,0.000000,0.000000,71.1884
0,1900,11612857.2132,0.0000,111.991870,97.748290,15295611001.9451,18865632712.7544,40.9217,59.0781,0.000000,0.000000,331.1859
1,1901,13317871.1104,0.0000,109.510177,97.725415,12827276524.0053,17766297660.4587,40.4362,59.5638,0.000000,0.000000,162.6470
2,1902,14076359.0387,0.0000,106.896885,97.713406,12290438030.4293,18453348730.2406,40.1316,59.8680,0.000000,0.000000,94.6312
3,1903,14618586.5092,0.0000,104.286151,97.707050,12459441584.2748,19737332066.3378,39.8272,60.1728,0.000000,0.000000,64.6027
4,1904,14958186.4623,0.0000,101.677409,97.703765,12999774257.0148,21346908174.3450,39.5165,60.4829,0.000000,0.000000,49.8876
5,1905,15107466.4503,0.0000,99.070246,97.702039,13892659454.0084,23287906848.4285,39.1942,60.8058,0.000000,0.000000,43.1855
0,1900,13327233.2359,0.0000,111.991870,97.701134,12269185411.8492,13855655485.2933,49.6436,50.3560,0.000000,0.000000,867.2556
1,1900,13270279.6103,0.0000,109.554642,97.700658,9107819915.0208,11510654082.8767,49.9889,50.0111,0.000000,0.000000,361.7485
2,1900,12720693.3213,0.0000,106.939345,97.700409,8301306690.2444,11733734384.8255,50.2830,49.7163,0.000000,0.000000,187.8797
3,1900,12163407.6691,0.0000,104.326241,97.700278,8098691318.2247,13289342224.2365,50.5785,49.4215,0.000000,0.000000,114.3506
4,1900,11599093.9346,0.0000,101.714975,97.700209,8407532039.8602,15021875393.1560,50.8756,49.1244,0.000000,0.000000,83.0830
0,1900,30906860.5649,200747.6587,111.991870,97.700173,51958605315.4624,64127570729.2474,39.9515,60.0483,0.051000,0.000000,1439.8475
1,1900,29222594.1631,303337.1013,109.590472,97.700154,42181285606.9420,57719784463.9640,40.2138,59.7862,0.052000,0.000000,606.8926
2,1900,27489073.1795,15161199.7869,106.978583,97.700144,37067923545.2883,55445881335.5593,40.1593,59.8403,0.053000,0.000000,262.8357
3,1900,26553878.6729,27311799.0140,104.367504,97.700138,36547149846.4576,57545180311.5552,40.0846,59.9154,0.054000,0.000000,130.8047
4,1900,25699050.0472,40209676.2057,101.757206,97.700136,38099989448.7737,61420589718.9759,39.9953,60.0040,0.055000,0.000000,80.3349
0,1900,37080055.2482,201078.9665,111.818384,97.700134,48030047110.6517,59908936539.0530,46.2267,53.7732,0.051000,0.000000,884.3766
1,1900,35756479.4904,22820118.1262,109.487153,97.700134,39123558361.5127,53192006167.8345,46.4595,53.5405,0.052000,0.000000,472.1452
2,1900,34704110.3328,34582723.1481,106.916681,97.700105,33479075120.8722,49722719302.0790,46.4943,53.5056,0.053000,0.000000,265.5188
3,1900,33843078.8106,48010414.6073,104.338165,97.699873,31696082356.8078,51910654927.3376,46.5194,53.4806,0.054000,0.000000,150.4463
4,1900,32846097.6826,61488894.3403,101.761124,97.699265,32119435123.2929,56090729676.1609,46.5357,53.4640,0.055000,0.000000,86.8634
5,1900,31717955.4135,77661010.8924,99.185434,97.698364,34245434822.3284,61325567207.4211,46.5394,53.4606,0.056000,0.000000,56.0943
0,1900,33367326.4102,0.0000,111.818384,97.699204,11133668493.4940,12965083582.0121,42.2237,57.7761,0.051000,0.000000,287.5787
1,1900,33781889.3547,52940.6489,109.565167,97.699645,10062007672.3901,12766686466.0429,42.4364,57.5636,0.052000,0.000000,141.4117
2,1900,31748041.2598,117848.8583,107.002680,97.699877,9570582739.4435,13106603686.6177,42.6633,57.3365,0.053000,0.000000,82.8785
3,1900,29796938.4385,6112798.4914,104.420807,97.699998,9647703032.3578,14315335240.4227,42.8954,57.1046,0.054000,0.000000,58.3367
4,1900,27915487.9644,14566217.3910,101.840198,97.700062,10001242341.6644,15653972135.0189,43.1287,56.8713,0.055000,0.000000,45.7533
5,1900,26092408.0413,21208047.1051,99.260805,97.700096,10563921459.9625,17128083876.8504,43.3631,56.6369,0.056000,0.000000,40.2495
6,1900,24317310.2788,23111054.9690,96.682581,97.700113,11252018865.8504,18699098371.3420,43.5960,56.4040,0.057000,0.000000,37.4172
7,1900,24171619.0196,25705494.5396,96.462662,97.700122,12055345141.2441,20382054491.5994,43.8282,56.1716,0.058000,0.000000,36.5853
8,1900,24144114.1334,31973455.0723,96.454485,97.700127,12969168015.5970,22190168660.1438,44.0594,55.9406,0.059000,0.000000,36.6978
9,1900,24133643.7665,31974828.0297,96.454485,97.994248,13987347330.9900,24127264767.3081,44.2899,55.7101,0.060000,0.000000,37.0774
10,1900,24146128.7974,31974828.0297,96.454485,98.295719,15095605357.6845,26185966089.0735,44.5194,55.4806,0.061000,0.000000,37.5407
11,1900,24179732.7942,31974828.0297,96.454485,98.604727,16293967697.1869,28368187053.7544,44.7484,55.2516,0.062000,0.000000,37.7147
12,1900,15751373.5114,34139973.3294,96.454485,98.921460,17597210464.9692,30695326778.5344,44.9759,55.0240,0.063000,0.000000,37.9409
13,1900,15164397.5049,59553830.5229,96.454485,99.246111,18869796012.2825,32996835500.6243,45.2022,54.7978,0.064000,0.000000,36.3753
14,1900,15414514.1899,69223410.9247,96.454485,99.578879,20178637191.7987,35354734051.4616,45.4277,54.5723,0.065000,0.000000,36.4861
15,1900,15655312.4749,69223410.9247,96.454485,99.919965,21526424840.7733,37778592613.6185,45.6521,54.3479,0.066000,0.000000,37.2641
16,1900,15896110.7599,73188154.5788,96.454485,100.269579,22870327911.3821,40201990453.5778,45.8760,54.1240,0.067000,0.000000,36.9725
17,1900,16136909.0449,73188154.5788,96.454485,100.627932,24258855432.6035,42690291094.8015,46.0987,53.9013,0.068000,0.000000,37.9231
18,1900,16377707.3299,85651114.3849,96.454485,100.995245,25640266445.5357,45172372327.2827,46.3204,53.6796,0.069000,0.000000,37.4134
19,1900,16618505.6149,85651114.3849,96.454485,101.371740,27067839675.3983,47719892076.7504,46.5410,53.4590,0.070000,0.000000,38.0773
20,1900,16859303.8999,101909597.2623,96.454485,101.757648,28505016460.5826,50281159191.7669,46.7608,53.2392,0.071000,0.000000,37.5921
21,1900,17100102.1849,111231079.8440,96.454485,102.153204,29980591008.1394,52894748880.9258,46.9795,53.0205,0.072000,0.000000,37.7839
22,1900,17340900.4699,122810704.5201,96.454485,102.558648,31472326181.5891,55528162442.1298,47.1973,52.8026,0.073000,0.000000,37.1741
23,1900,17581698.7549,131509718.4859,96.454485,102.974229,32998102758.7520,58224023173.4295,47.4140,52.5860,0.074000,0.000000,38.1557
24,1901,17822497.0399,155831964.6391,96.454485,103.400199,34511803329.9883,60907824315.4139,47.6297,52.3703,0.075000,0.000000,37.3147
25,1901,18063295.3249,163884885.7691,96.454485,103.836818,36073514564.1305,63666465665.6832,47.8445,52.1555,0.076000,0.000000,38.2939
26,1901,18301139.7499,177154189.7566,96.454485,104.284353,37629621625.3822,66417671281.3017,48.0586,51.9412,0.077000,0.000000,37.5002
0,1900,35884606.6702,11362.7933,111.818384,104.284353,10751539690.6687,12421285916.1485,43.3142,56.6857,0.051000,0.000000,197.8370
1,1900,38244072.5115,4257082.5380,109.939783,104.284353,10825303475.1346,13320128659.0500,43.5675,56.4325,0.052000,0.000000,135.3672
2,1900,37031538.9124,9994373.0591,107.269804,104.284353,11346857179.5964,14616648803.3286,43.8374,56.1624,0.053000,0.000000,103.4267
3,1900,35735187.9213,12974031.0588,104.621286,104.284353,12284976321.2867,16533165497.5866,44.1125,55.8875,0.054000,0.000000,82.0100
4,1900,34363461.0380,13202681.1052,101.991338,104.284353,13523263548.9207,18666619989.2311,44.3881,55.6119,0.055000,0.000000,68.3350
5,1900,32117894.6746,15415735.7182,99.374810,104.284353,14984950586.2038,20969911722.4664,44.6640,55.3360,0.056000,0.000000,61.9762
6,1900,30598335.2814,18408689.5059,96.768294,104.284353,16585364217.0625,23393414050.0379,44.9378,55.0622,0.057000,0.000000,58.2407
7,1900,30826594.6729,23382550.7486,96.455760,104.284353,18311814255.0134,25944052027.6514,45.2102,54.7897,0.058000,0.000000,57.2335
8,1900,31175297.0552,27796038.5608,96.454485,104.284353,20139205642.0869,28617316594.3615,45.4811,54.5189,0.059000,0.000000,57.2988
0,1900,191236977.3214,0.0000,111.818384,104.284353,72238213433.8219,87195314847.1085,44.4877,55.5122,0.051000,0.000000,1368.5043
1,1900,166389981.7709,0.0000,109.726539,104.284353,53784904494.5258,73096491510.6017,44.7728,55.2272,0.052000,0.000000,566.7017
2,1900,162760363.9612,0.0000,107.130633,104.284353,46252112368.9276,69266972699.9783,45.0621,54.9377,0.053000,0.000000,256.1502
3,1900,159942821.3633,0.0000,104.537015,104.284353,46592506845.7110,78147268067.7380,45.3179,54.6821,0.054000,0.000000,135.4224
4,1900,157147179.6518,181663.0029,101.945782,104.284353,50897279614.9303,88763755595.8689,45.5688,54.4309,0.055000,0.000000,75.3675
5,1900,134327974.3907,304412.5094,99.356781,104.284353,57499250334.2088,100495801265.4652,45.8163,54.1837,0.056000,0.000000,52.5294
6,1900,131361773.1417,408424.6902,96.769864,104.284353,65105961230.6983,112637160180.5015,46.0626,53.9374,0.057000,0.000000,41.5140
7,1900,131724087.4400,408424.6902,96.454637,104.284353,73350841833.1187,125166181862.8199,46.3074,53.6923,0.058000,0.000000,36.4321
8,1900,132364570.4231,515563.7869,96.454485,104.284353,82209134532.5831,138332892941.8324,46.5507,53.4493,0.059000,0.000000,33.7040
9,1900,117055962.4782,559667.3215,96.454485,104.284353,91643958116.9918,152110365895.5873,46.7930,53.2070,0.060000,0.000000,32.1564
10,1900,117700264.9168,559667.3215,96.454485,104.284353,101578580406.9977,166535924982.8026,47.0340,52.9656,0.061000,0.000000,32.2698
11,1900,118346251.0988,751657.0293,96.454485,104.284353,111944070054.8641,181573793973.0451,47.2736,52.7264,0.062000,0.000000,32.0395
12,1900,104335924.3024,784453.9357,96.454485,104.284353,123035280546.6255,197594733013.4160,47.5124,52.4875,0.063000,0.000000,32.0659
13,1900,89890194.3491,964893.3807,96.454485,104.284353,134292875743.8334,213904218410.0109,47.7497,52.2503,0.064000,0.000000,30.8200
14,1900,90539315.5491,1001490.5212,96.454485,104.284353,145832026770.2101,230608311573.4981,47.9862,52.0138,0.065000,0.000000,30.9509
15,1900,91172746.5291,1215343.0294,96.454485,104.284353,157657487852.1681,247685202656.7768,48.2215,51.7785,0.066000,0.000000,30.6641
16,1900,40130805.7150,1325278.7162,96.454485,104.284353,169784056314.3963,265030016756.2139,48.4549,51.5451,0.067000,0.000000,28.3089
17,1900,40731242.8250,1519669.9168,96.454485,104.284353,182196888216.7247,282581276926.3306,48.6876,51.3124,0.068000,0.000000,27.9934
18,1900,46315539.8612,1519669.9168,96.454485,104.284353,194719829625.9808,300214764326.6844,48.9194,51.0806,0.069000,0.000000,28.6632
19,1900,46875266.3012,1575242.5885,96.454485,104.284319,207351239890.8000,317933120526.2489,49.1502,50.8498,0.070000,0.000000,28.3378
20,1900,47410791.2912,1747396.1165,96.454485,104.284191,220178822513.6724,335879993898.3432,49.3799,50.6201,0.071000,0.000000,28.7380
21,1900,47068494.7930,1827324.9801,96.454485,104.283977,233148961149.7184,353991512685.0048,49.6084,50.3916,0.072000,0.000000,28.3774
22,1900,47604019.7830,1827324.9801,96.454485,104.283718,246311518490.6089,372355142078.3673,49.8359,50.1640,0.073000,0.000000,28.7663
23,1900,48135789.6580,2019692.8617,96.454485,104.283435,259610519082.0800,390891456079.3329,50.0621,49.9378,0.074000,0.000000,28.4176
24,1901,48612249.7330,2250275.6006,96.454485,104.283149,273095198174.3522,409676310854.4218,50.2870,49.7130,0.075000,0.000000,28.8298
25,1901,48362709.3524,2440408.0571,96.454485,104.282853,286696487341.4294,428605435587.3702,50.5111,49.4889,0.076000,0.000000,28.4438
26,1901,48800866.1624,2440408.0571,96.454485,104.282554,300459842966.8558,447745225182.3452,50.7343,49.2656,0.077000,0.000000,28.8494
27,1901,49239022.9724,2615073.5138,96.454485,104.282211,314329710863.9788,467005705899.9484,50.9562,49.0438,0.078000,0.000000,28.4938
0,1900,123624030.5864,0.0000,111.818384,104.283229,65673760496.4365,77273923445.8808,48.4403,51.5596,0.051000,0.000000,1284.8263
1,1900,117128206.4874,0.0000,110.131626,104.283763,52799957967.4537,67494256009.4568,48.5577,51.4423,0.052000,0.000000,653.4047
2,1900,113130117.2331,0.0000,107.462214,104.284043,47217101869.6852,64712620375.3266,48.6766,51.3232,0.053000,0.000000,357.8869
3,1900,109621091.1202,1649164.9492,104.808324,104.283598,46290779146.6521,66430296996.6111,48.7852,51.2148,0.054000,0.000000,196.2859
0,1900,100654692.0466,0.0000,111.818384,104.283956,22451059363.8393,26890992879.2091,12.5300,87.4695,0.051000,0.000000,455.9922
1,1900,101811400.6906,0.0000,110.035416,104.284145,19212269192.6728,25161338383.7182,12.6846,87.3154,0.052000,0.000000,191.3773
2,1900,96692032.1093,0.0000,107.452071,104.284244,21002225082.0099,29713790877.9190,12.7406,87.2591,0.053000,0.000000,157.9885
3,1900,91710295.3392,0.0000,104.854218,104.284296,23250035358.6120,34346068361.6013,12.7406,87.2594,0.054000,0.000000,121.4438
4,1900,86849218.4468,46174.9723,102.262097,104.284323,26631171687.4328,40362169579.3800,12.7441,87.2546,0.055000,0.000000,116.8411
5,1900,78909531.5461,101053.4674,99.656647,104.284337,30166340715.7730,46454618805.7946,12.7696,87.2304,0.056000,0.000000,104.5445
0,1900,98549839.4764,0.0000,111.818384,104.284345,15042169608.6096,18234959705.3202,23.4206,76.5793,0.051000,0.000000,349.4233
1,1900,100934833.3266,0.0000,109.983000,104.284018,13636055884.4575,18160807748.6255,23.6107,76.3893,0.052000,0.000000,152.3360
2,1900,94209961.2113,0.0000,107.440593,104.283273,15884105674.4682,22763174438.7953,23.6417,76.3578,0.053000,0.000000,159.8575
3,1900,87830510.8899,0.0000,104.851153,104.282836,17527158419.5570,26415387820.6772,23.6418,76.3582,0.054000,0.000000,118.8250
0,1900,89655114.9769,0.0000,111.818384,104.283557,13760003635.7374,16776234648.0239,26.7189,73.2807,0.051000,0.000000,363.9350
1,1900,84063604.5844,0.0000,109.985218,104.283935,12509690149.9609,17017621863.5742,26.7189,73.2811,0.052000,0.000000,209.2844
2,1900,82657476.7885,0.0000,107.492966,104.284133,13584469236.6070,20394194072.5843,26.7189,73.2807,0.053000,0.000000,192.2208
3,1900,76673430.3344,4417402.0513,104.902210,104.284238,14526515865.5568,23541376270.2301,26.7189,73.2811,0.054000,0.000000,145.4770
4,1900,71027193.0283,8786742.5047,102.308114,104.284292,16434493426.9336,27923241979.9950,26.7189,73.2811,0.055000,0.000000,141.8264
5,1900,64644420.8799,10369881.9148,99.711267,104.284321,18403171081.0935,32240348062.8532,26.7189,73.2811,0.056000,0.000000,119.5097
6,1900,59570916.4923,11734414.0156,97.115125,104.368370,21180322960.2982,37612059303.5943,26.7189,73.2811,0.057000,0.000000,128.6150
0,1900,95566928.1749,0.0000,111.818384,104.490749,16040586649.0017,18650443940.0584,21.9280,78.0717,0.051000,0.000000,438.7003
1,1900,95018957.5948,0.0000,109.939056,104.562879,13630933208.9161,17458240068.7110,21.9496,78.0504,0.052000,0.000000,192.8194
2,1900,89013213.2438,0.0000,107.451338,104.600747,14672001255.0931,20470343041.4249,21.9527,78.0470,0.053000,0.000000,157.3146
3,1900,82902295.7819,0.0000,104.864200,104.620628,16049636825.3538,23553856471.3513,21.9527,78.0473,0.054000,0.000000,121.7103
0,1900,121352287.5217,0.0000,111.818384,104.631065,21113698152.6566,25641758269.9650,14.6080,85.3915,0.051000,0.000000,884.2648
1,1900,115199687.1266,0.0000,109.942523,104.636545,16741121395.7842,22480861854.9969,14.6101,85.3899,0.052000,0.000000,326.7951
2,1900,108572326.7651,0.0000,107.489210,104.639422,16552083441.4197,24496269171.7993,14.6101,85.3893,0.053000,0.000000,210.0848
3,1900,101974090.0784,0.0000,104.911653,104.640932,18184399770.4319,30096703866.0158,14.6094,85.3906,0.054000,0.000000,179.1615
4,1900,95770767.2245,0.0000,102.324171,104.641725,20379850117.6684,35591284658.6052,14.6096,85.3904,0.055000,0.000000,149.3971
5,1900,84787949.3756,156610.7235,99.746299,104.642141,23427010351.0544,41787189750.9116,14.6751,85.3249,0.056000,0.000000,142.9862
