Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,167001.2881,0.0000,111.991870,98.907563,3386551140.2151,3918539941.4051,48.4450,51.5545,0.000000,0.000000,220.5325
1,1901,324539.8493,0.0000,111.991870,98.334034,2953998565.7573,3757109679.8374,48.1653,51.8342,0.000000,0.000000,128.5508
2,1902,459124.0614,0.0000,111.991870,98.032931,2845251337.7487,3902690183.4923,49.5780,50.4215,0.000000,0.000000,89.0383
3,1903,587222.8005,0.0000,111.991870,97.874852,2846559862.7247,4143008209.9487,50.9496,49.0500,0.000000,0.000000,60.6349
4,1904,709354.9044,0.0000,111.991870,97.791860,2947554382.3331,4475557998.8621,52.2572,47.7424,0.000000,0.000000,45.3694
0,1900,3860292.5101,0.0000,111.991870,97.748290,23148926076.1662,28732422070.8879,49.5516,50.4484,0.000000,0.000000,938.8617
1,1901,5043579.9937,0.0000,109.510177,97.725415,16058787603.3747,23422265732.7849,49.8569,50.1431,0.000000,0.000000,398.7721
2,1902,5849942.9312,0.0000,106.896885,97.713406,13881655822.2858,23035162488.5387,49.9183,50.0815,0.000000,0.000000,191.5895
3,1903,6491399.8204,0.0000,104.286151,97.707050,13784307263.8604,24518986488.8957,49.9718,50.0282,0.000000,0.000000,103.0837
4,1904,6979488.8115,0.0000,101.677409,97.703765,14997114801.4565,27154410645.5494,50.0206,49.9794,0.000000,0.000000,68.2181
5,1905,7324626.4993,0.0000,99.070246,97.702039,16699761191.7093,30217994782.7881,50.0869,49.9131,0.000000,0.000000,51.8794
0,1900,12996727.5826,0.0000,111.991870,97.701134,24273151131.3307,30425737823.5765,52.3427,47.6572,0.000000,0.000000,897.0016
1,1900,14187639.0507,0.0000,109.554642,97.700658,17787333245.8612,25620181246.5992,52.5836,47.4164,0.000000,0.000000,446.9952
2,1900,14114466.6587,0.0000,106.939345,97.700409,15635966049.9756,25348427171.8753,52.7609,47.2389,0.000000,0.000000,269.9469
3,1900,13951944.2115,0.0000,104.326241,97.700278,14835823052.4030,28066700929.9718,52.9362,47.0638,0.000000,0.000000,157.5203
4,1900,13703744.6704,0.0000,101.714975,97.700209,15625234608.6515,32160209798.9729,53.1079,46.8917,0.000000,0.000000,94.0621
0,1900,15309326.6925,0.0000,111.991870,97.700173,9757445031.0941,12411401643.2490,50.0373,49.9622,0.051000,0.000000,375.1343
1,1900,15518568.0431,0.0000,109.590472,97.700154,8953034810.5459,12368553595.3020,49.8593,50.1407,0.052000,0.000000,189.6890
