Turn,Year,Official_GDP,Shadow_GDP,CPI_Index,PPI_Index,M0,M3,Unemployment_Pct,True_Labor_Utilization_Pct,Corruption_Index,Structural_Defects_Mean,Average_Wage
0,1900,2377398.0068,0.0000,111.991870,98.907563,40189769858.5322,45312555368.3359,45.8262,54.1735,0.000000,0.000000,1325.1077
1,1901,4554132.2131,0.0000,111.991870,98.334034,29202628260.8672,37719995965.2617,46.3152,53.6846,0.000000,0.000000,657.6417
2,1902,6423302.3860,0.0000,111.991870,98.032931,23561912867.3881,35123823918.8202,46.4816,53.5182,0.000000,0.000000,365.9984
3,1903,8202498.9651,0.0000,111.991870,97.874852,21129241743.5701,38931304645.1568,46.6368,53.3630,0.000000,0.000000,191.5382
4,1904,9898919.8379,0.0000,111.991870,97.791860,21495523385.1260,44963293987.2317,46.7836,53.2162,0.000000,0.000000,102.0987
0,1900,11416906.1998,0.0000,111.991870,97.748290,26231061385.2863,31658281829.0785,42.5724,57.4274,0.000000,0.000000,992.1992
1,1901,12322378.8252,0.0000,109.510177,97.725415,18990507583.3092,26361489546.9393,43.0676,56.9324,0.000000,0.000000,441.7381
2,1902,12797482.6151,0.0000,106.896885,97.713406,15597773006.0473,25004801537.1832,43.2511,56.7487,0.000000,0.000000,220.8968
3,1903,13106858.9450,0.0000,104.286151,97.707050,15374578276.1990,26605157324.0943,43.4216,56.5784,0.000000,0.000000,121.1378
4,1904,13262865.4480,0.0000,101.677409,97.703765,16584318635.0713,29456224005.5810,43.5831,56.4167,0.000000,0.000000,80.4353
5,1905,13273631.8502,0.0000,99.070246,97.702039,18518146173.1690,32955202125.3349,43.7423,56.2577,0.000000,0.000000,60.6991
0,1900,22412120.6008,0.0000,111.991870,97.701134,36846622736.5250,49938180794.6323,43.2655,56.7343,0.000000,0.000000,946.4569
1,1900,23484097.9265,0.0000,109.554642,97.700658,25916486435.7430,41923196737.5598,43.2332,56.7668,0.000000,0.000000,392.3538
2,1900,23635521.8208,0.0000,106.939345,97.700409,22466777172.7129,41254288544.7806,43.0713,56.9285,0.000000,0.000000,180.4743
3,1900,23593184.1119,0.0000,104.326241,97.700278,22216732290.9377,43416014769.5368,42.8988,57.1012,0.000000,0.000000,93.3376
4,1900,23371535.6198,0.0000,101.714975,97.700209,23840832879.0459,47197054656.1012,42.7228,57.2768,0.000000,0.000000,60.3990
0,1900,8569816.6637,0.0000,111.991870,97.700173,5797225042.9887,6801488865.8442,41.8202,58.1789,0.051000,0.000000,369.8389
1,1900,8019978.9489,645556.9170,109.590472,97.700154,5239707040.3822,6578301977.5461,41.7807,58.2193,0.052000,0.000000,185.1736
2,1900,7469008.1337,3385925.9629,106.978583,97.700144,4966699608.5588,6648699102.7712,42.4235,57.5749,0.053000,0.000000,115.2881
3,1900,6952015.6496,5620759.7628,104.367504,97.700138,4976738611.9252,7124724496.6209,43.0834,56.9166,0.054000,0.000000,82.0914
4,1900,6464902.1503,11795162.9952,101.757206,97.700136,5130461624.4524,7692010551.7831,43.7638,56.2362,0.055000,0.000000,64.7261
0,1900,32319249.6652,98326.4363,111.818384,97.700134,15897467494.5699,17535542974.7663,47.7654,52.2345,0.051000,0.000000,162.6022
1,1900,33020784.8996,3269226.3037,109.487153,97.700134,14827618849.2533,17435149650.3188,47.2609,52.7391,0.052000,0.000000,90.2243
2,1900,33155017.7360,6742267.2641,106.916681,97.700105,14302959742.0714,17810020716.9512,47.0343,52.9656,0.053000,0.000000,59.7350
3,1900,32511718.7155,7207141.6362,104.338165,97.699873,14287341101.8869,18811998686.7386,46.8111,53.1889,0.054000,0.000000,41.0772
4,1900,31709379.8618,7657569.0282,101.761124,97.699265,14638074542.0175,20119511718.9179,46.5870,53.4127,0.055000,0.000000,30.9772
5,1900,30753605.2328,9922742.4390,99.185434,97.698364,15251604573.0746,21658884984.8442,46.3553,53.6447,0.056000,0.000000,26.4978
0,1900,45652182.6962,0.0000,111.818384,97.699204,13915360109.0521,15779205285.2661,44.3024,55.6974,0.051000,0.000000,297.2595
1,1900,47573503.4517,0.0000,109.565167,97.699645,12638335631.1027,15680992800.6255,44.5026,55.4974,0.052000,0.000000,148.5802
2,1900,45116598.0195,4513077.4503,107.002680,97.699877,12006334236.2767,16112659415.3480,44.7119,55.2878,0.053000,0.000000,90.3791
3,1900,42661000.7893,4513077.4503,104.420807,97.699998,12110621177.6195,17594106291.2988,44.9234,55.0766,0.054000,0.000000,66.8655
4,1900,40251668.4844,4513077.4503,101.840198,97.700062,12545840134.4473,19244425021.2217,45.1354,54.8640,0.055000,0.000000,54.7660
5,1900,37875870.5365,4513077.4503,99.260805,97.700096,13203436474.6137,21040539411.7332,45.3468,54.6532,0.056000,0.000000,49.5746
6,1900,35515331.1332,6525239.4096,96.682581,97.700113,14042617829.9418,22991408032.2043,45.5583,54.4417,0.057000,0.000000,46.9437
7,1900,35481923.3621,15429632.0738,96.462662,97.700122,15024336930.5763,25087023848.1531,45.7691,54.2305,0.058000,0.000000,46.3524
8,1900,35640322.5700,19738094.6482,96.454485,97.700127,16138406911.0965,27334000792.2442,45.9790,54.0210,0.059000,0.000000,46.4393
9,1900,35839717.5310,23893080.4454,96.454485,97.994248,17391601102.5820,29767053310.5047,46.1883,53.8117,0.060000,0.000000,47.8612
